YYYY;MM;DD;qobs;ckhs;qceq;qcol
2010;6;13;8.227;1;0;0
2010;6;14;10.06;1;0;0
2010;6;15;7.762;1;0;0
2010;6;16;7.465;1;0;0
2010;6;17;8.094;1;0;0
2010;6;18;19.611;1;0;0
2010;6;19;23.769;1;0;0
2010;6;20;19.922;1;0;0
2010;6;21;14.733;1;0;0
2010;6;22;11.1;1;0;0
2010;6;23;8.973;1;0;0
2010;6;24;7.678;1;0;0
2010;6;25;6.73;1;0;0
2010;6;26;6.17;1;0;0
2010;6;27;5.646;1;0;0
2010;6;28;5.335;1;0;0
2010;6;29;5.037;1;0;0
2010;6;30;4.66;1;0;0
2010;7;1;4.5;1;0;0
2010;7;2;4.212;1;0;0
2010;7;3;3.891;1;0;0
2010;7;4;3.729;1;0;0
2010;7;5;3.839;1;0;0
2010;7;6;4.651;1;0;0
2010;7;7;3.859;1;0;0
2010;7;8;3.314;1;0;0
2010;7;9;3.08;1;0;0
2010;7;10;3.543;1;0;0
2010;7;11;6.057;1;0;0
2010;7;12;4.907;1;0;0
2010;7;13;4.44;1;0;0
2010;7;14;3.431;1;0;0
2010;7;15;3.047;1;0;0
2010;7;16;2.762;1;0;0
2010;7;17;6.662;1;0;0
2010;7;18;11.391;1;0;0
2010;7;19;5.229;1;0;0
2010;7;20;4.128;1;0;0
2010;7;21;3.678;1;0;0
2010;7;22;3.484;1;0;0
2010;7;23;8.252;1;0;0
2010;7;24;24.371;1;0;0
2010;7;25;18.229;1;0;0
2010;7;26;10.607;1;0;0
2010;7;27;28.266;1;0;0
2010;7;28;13.416;1;0;0
2010;7;29;22.929;1;0;0
2010;7;30;23.26;1;0;0
2010;7;31;13.322;1;0;0
2010;8;1;9.408;1;0;0
2010;8;2;11.34;1;0;0
2010;8;3;18.519;1;0;0
2010;8;4;12.199;1;0;0
2010;8;5;16.962;1;0;0
2010;8;6;35.669;1;0;0
2010;8;7;16.741;1;0;0
2010;8;8;12.682;1;0;0
2010;8;9;11.896;1;0;0
2010;8;10;8.858;1;0;0
2010;8;11;7.642;1;0;0
2010;8;12;11.735;1;0;0
2010;8;13;12.48;1;0;0
2010;8;14;9.733;1;0;0
2010;8;15;9.467;1;0;0
2010;8;16;10.79;1;0;0
2010;8;17;13.562;1;0;0
2010;8;18;9.957;1;0;0
2010;8;19;9.349;1;0;0
2010;8;20;7.763;1;0;0
2010;8;21;6.846;1;0;0
2010;8;22;6.195;1;0;0
2010;8;23;5.749;1;0;0
2010;8;24;7.555;1;0;0
2010;8;25;5.857;1;0;0
2010;8;26;5.19;1;0;0
2010;8;27;10.579;1;0;0
2010;8;28;35.402;1;0;0
2010;8;29;16.295;1;0;0
2010;8;30;25.986;1;0;0
2010;8;31;37.252;1;0;0
2010;9;1;17.418;1;0;0
2010;9;2;12.13;1;0;0
2010;9;3;9.75;1;0;0
2010;9;4;8.102;1;0;0
2010;9;5;6.55;1;0;0
2010;9;6;5.569;1;0;0
2010;9;7;5.534;1;0;0
2010;9;8;5.648;1;0;0
2010;9;9;6.916;1;0;0
2010;9;10;5.028;1;0;0
2010;9;11;4.459;1;0;0
2010;9;12;4.12;1;0;0
2010;9;13;10.224;1;0;0
2010;9;14;6.889;1;0;0
2010;9;15;5.031;1;0;0
2010;9;16;4.614;1;0;0
2010;9;17;4.479;1;0;0
2010;9;18;4.061;1;0;0
2010;9;19;3.614;1;0;0
2010;9;20;3.327;1;0;0
2010;9;21;3.095;1;0;0
2010;9;22;2.847;1;0;0
2010;9;23;2.574;1;0;0
2010;9;24;2.667;1;0;0
2010;9;25;7.839;1;0;0
2010;9;26;6.167;1;0;0
2010;9;27;4.817;1;0;0
2010;9;28;4.507;1;0;0
2010;9;29;4.153;1;0;0
2010;9;30;3.973;1;0;0
2010;10;1;4.214;1;0;0
2010;10;2;3.898;1;0;0
2010;10;3;3.481;1;0;0
2010;10;4;3.038;1;0;0
2010;10;5;3.182;1;0;0
2010;10;6;3.033;1;0;0
2010;10;7;2.641;1;0;0
2010;10;8;2.432;1;0;0
2010;10;9;2.286;1;0;0
2010;10;10;2.218;1;0;0
2010;10;11;1.958;1;0;0
2010;10;12;1.785;1;0;0
2010;10;13;1.71;1;0;0
2010;10;14;1.645;1;0;0
2010;10;15;1.555;1;0;0
2010;10;16;1.63;1;0;0
2010;10;17;1.908;1;0;0
2010;10;18;1.75;1;0;0
2010;10;19;1.618;1;0;0
2010;10;20;2.703;1;0;0
2010;10;21;2.68;1;0;0
2010;10;22;2.476;1;0;0
2010;10;23;3.166;1;0;0
2010;10;24;3.946;1;0;0
2010;10;25;4.093;1;0;0
2010;10;26;3.45;1;0;0
2010;10;27;3.238;1;0;0
2010;10;28;4.292;1;0;0
2010;10;29;6.113;1;0;0
2010;10;30;6.629;1;0;0
2010;10;31;6.846;1;0;0
2010;11;1;6.687;1;0;0
2010;11;2;6.026;1;0;0
2010;11;3;5.443;1;0;0
2010;11;4;5.375;1;0;0
2010;11;5;5.606;1;0;0
2010;11;6;4.825;1;0;0
2010;11;7;4.429;1;0;0
2010;11;8;4.479;1;0;0
2010;11;9;3.894;1;0;0
2010;11;10;3.522;1;0;0
2010;11;11;4.124;1;0;0
2010;11;12;20.262;1;0;0
2010;11;13;12.101;1;0;0
2010;11;14;6.617;1;0;0
2010;11;15;5.198;1;0;0
2010;11;16;5.816;1;0;0
2010;11;17;5.456;1;0;0
2010;11;18;4.893;1;0;0
2010;11;19;4.67;1;0;0
2010;11;20;4.25;1;0;0
2010;11;21;3.911;1;0;0
2010;11;22;3.968;1;0;0
2010;11;23;3.874;1;0;0
2010;11;24;3.311;1;0;0
2010;11;25;2.783;1;0;0
2010;11;26;2.643;1;0;0
2010;11;27;2.567;1;0;0
2010;11;28;2.407;1;0;0
2010;11;29;2.375;1;0;0
2010;11;30;2.297;1;0;0
2010;12;1;2.277;1;0;0
2010;12;2;2.161;1;0;0
2010;12;3;2.106;1;0;0
2010;12;4;2.033;1;0;0
2010;12;5;1.888;1;0;0
2010;12;6;2.323;1;0;0
2010;12;7;6.134;1;0;0
2010;12;8;6.9;1;0;0
2010;12;9;10.254;1;0;0
2010;12;10;5.64;1;0;0
2010;12;11;4.693;1;0;0
