ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
59;2.96;0.713;0.817;4.847;0.68;0.793;268.818;0.262;9.41;5.212;4;111.487;56.6;0
60;3.004;0.76;0.792;4.575;0.678;0.726;277.972;0.392;9.892;5.833;2.5;100.778;29.024;0
61;3.497;0.761;0.879;5.542;0.629;0.677;266.028;0.278;12.848;17.222;4.429;138.083;60.622;0
62;3.038;0.751;0.713;4.394;0.688;0.727;274.346;0.439;9.439;2.731;1.732;87.188;25.761;0
63;2.5;0.646;1.393;2.342;0.748;0.713;256.333;0.689;6.288;0.056;1;2.333;1.105;0
64;2.56;0.658;1.269;2.22;0.755;0.717;255.065;0.752;6.295;0.032;1;0.677;1.105;0
65;1.77;0.372;1.2;2.288;0.8;0.87;249.077;0.625;4.045;0.115;1;0;0;0
66;2.501;0.629;1.227;2.285;0.764;0.748;255.389;0.783;6.153;0.028;1;0.056;1;0
67;1.985;0.503;1.737;3.195;0.654;0.696;250.692;0.296;6.295;1.961;1.889;45.69;26.4;0
68;2.758;0.665;1.005;1.806;0.781;0.894;236.833;0.943;6.525;0.028;1;0;0;0
69;2.71;0.659;1.166;2.733;0.771;0.854;252.75;0.781;6.777;0.028;1;0;0;0
70;3.25;0.734;1.255;2.628;0.739;0.791;251.194;0.901;8.436;0.389;1.167;0.611;11;0
71;2.749;0.649;1.435;2.412;0.77;0.849;248.278;0.831;6.71;0.083;1;0;0;0
72;2.291;0.526;1.098;1.94;0.763;0.838;241.389;0.767;5.866;0.056;1;0;0;0
73;3.617;0.795;0.705;4.667;0.676;0.706;273;0.354;11.396;1.615;1.68;102.725;38.71;0
74;2.534;0.571;1.169;2.729;0.779;0.853;253.361;0.767;6.03;0.111;1;0;0;0
75;2.748;0.609;0.97;1.809;0.785;0.856;244.361;0.979;6.774;0.028;1;0;0;0
76;2.694;0.594;1.052;2.351;0.747;0.825;246.917;0.757;7.163;0.056;1;1.194;1.654;0
77;2.584;0.632;1.3;2.165;0.786;0.795;252.917;0.929;6.065;0;0;0;0;0
78;0.508;0.127;1.804;3.254;0.61;0.634;262.083;0.043;1.337;5.361;1.569;74.694;29.878;0
79;4.329;1.158;1.466;6.062;0.633;0.628;268.833;0.259;14.961;8.75;1.842;139.194;56.943;0
80;0.515;0.133;1.195;1.632;0.734;0.751;245.028;0.19;1.085;2.333;1.273;0.222;2;0
81;2.554;0.601;1.07;2.711;0.748;0.803;251.472;0.697;6.506;0.139;1.25;0.056;1;0
82;3.938;0.979;0.971;2.443;0.623;0.391;249.667;0.638;9.31;0;0;30.583;2.163;0
83;3.731;0.837;1.263;2.816;0.699;0.756;249.619;0.76;11.105;0.238;1.667;15.858;9.794;0
84;3.773;0.929;1.024;2.319;0.647;0.442;248.5;0.709;8.713;0.028;1;21.444;2.133;0
85;3.854;0.892;0.889;1.647;0.664;0.515;222.611;0.668;7.833;0.028;1;25.833;2.751;0
86;3.628;0.841;0.687;1.468;0.715;0.56;228.333;0.785;7.124;0;0;16;1.933;0
87;3.598;0.856;0.847;1.842;0.735;0.614;243.556;1.083;7.568;0;0;3.056;2.075;0
88;2.718;0.66;1.187;2.083;0.791;0.787;251.111;1;6.137;0;0;0;0;0
89;2.644;0.528;1.422;3.205;0.581;0.536;236.944;0.307;8.19;2.722;1.361;56.194;14.049;0
90;2.898;0.578;1.775;1.487;0.726;0.746;219.306;1.072;7.235;0.528;1.357;0;0;0
91;3.255;0.638;1.676;1.976;0.618;0.565;214.694;0.904;8.951;2.056;1.321;0.722;3.714;0
92;1.676;0.343;-0.119;1.236;0.819;0.842;208;0.808;3.195;0.091;1;1.091;4;0
93;3.609;0.757;1.344;2.18;0.673;0.65;231.296;1.011;9.448;0.593;1.231;1.222;4.125;0
94;3.417;0.733;1.064;2.228;0.738;0.769;233.583;0.891;8.232;0.058;1;6.188;12.647;0
95;3.013;0.633;1.409;1.966;0.731;0.74;233.667;0.953;7.136;0.167;1;0.139;1.667;0
96;2.754;0.658;1.142;2.017;0.798;0.799;249.222;1.067;6.096;0;0;0;0;0
97;2.217;0.438;1.348;1.688;0.689;0.699;216.433;0.639;5.658;0.933;1.273;0.4;4;0
98;2.232;0.441;1.493;1.652;0.679;0.662;211.971;0.723;5.536;0.714;1.25;1.429;8.333;0
99;3.368;0.648;2.22;2.027;0.636;0.578;233.625;0.912;8.742;2.062;1.32;2.562;3.727;0
100;2.582;0.487;1.683;1.397;0.638;0.577;198.381;0.876;6.427;1.667;1.591;5.476;3.108;0
101;3.729;0.759;1.461;1.555;0.587;0.552;202.758;1.175;10.167;4.091;1.57;0.849;9.333;0
102;2.333;0.465;1.823;2.021;0.571;0.512;210.882;0.536;6.151;3.294;1.6;10.471;6.138;0
103;3.033;0.64;1.036;2.333;0.662;0.661;229.25;0.723;8.3;0.611;1.222;6;5.268;0
104;3.276;0.689;0.493;2.151;0.672;0.668;232.5;0.731;8.867;0.5;1.167;10.142;9.467;0
105;2.847;0.585;1.222;2.146;0.669;0.652;224.444;0.756;7.277;0.694;1.25;4.111;5.692;0
106;2.927;0.606;1.499;2.242;0.671;0.655;226.583;0.778;7.558;0.639;1.278;1.806;4.333;0
107;3.587;0.712;1.229;1.815;0.698;0.68;217.222;1.282;8.907;0.528;1.118;0;0;0
108;3.329;0.655;1.279;1.754;0.698;0.681;217.167;1.132;7.896;0.583;1;0.167;1.333;0
109;4.819;0.907;0.821;1.039;0.808;0.825;207.389;2.539;9.059;0.111;1;0;0;0
110;4.008;0.779;1.091;1.344;0.716;0.683;210.538;1.737;9.018;0.769;1.429;0;0;0
111;2.966;0.689;0.612;4.471;0.672;0.665;266.722;0.297;9.109;1.917;1.255;92.611;10.618;0
112;6.455;1.548;0.337;6.839;0.593;0.599;290.321;0.218;26.712;74.321;10.005;177.536;53.452;0
113;5.259;1.238;0.409;5.803;0.637;0.617;277.611;0.391;17.447;10.028;2.04;135.944;42.19;0
114;4.769;1.104;-0.033;4.697;0.672;0.696;277.417;0.553;15.215;6.5;1.983;99.389;32.826;0
115;4.309;0.985;0.794;4.065;0.704;0.734;268.611;0.762;12.682;1.611;1.812;34.806;14.079;0
116;2.874;0.627;1.178;2.26;0.694;0.706;235.267;0.751;7.874;0.267;1;5.9;10.412;0
117;3.491;0.798;0.909;3.94;0.703;0.716;266.556;0.592;10.002;0.972;1.167;42.694;8.833;0
118;3.858;0.868;1.081;3.183;0.704;0.747;256.028;0.748;10.936;0.389;1.556;22.111;12.246;0
119;3.041;0.65;0.693;1.92;0.729;0.784;232.125;0.898;7.794;0.333;1.143;0.542;2.167;0
120;5.139;1.144;0.782;1.316;0.705;0.521;216.833;1.466;9.904;0;0;7.89;1.661;0
121;10.005;2.193;0.073;2.21;0.611;0.413;189.917;1.041;21.628;0;0;39.861;2.83;0
122;3.897;0.873;0.813;1.946;0.795;0.78;249.25;1.425;8.109;0;0;0.139;1;0
123;4.233;0.938;0.621;2.993;0.773;0.843;264.972;0.896;10.314;0.028;1;14.278;12.537;0
124;3.22;0.71;0.72;2.702;0.792;0.847;255.778;0.976;7.164;0;0;1.25;5.625;0
125;3.137;0.727;0.909;2.024;0.773;0.821;252.5;1.092;7.596;0.139;1.25;0;0;0
126;3.182;0.729;0.665;1.815;0.807;0.852;243.111;1.23;6.965;0;0;0;0;0
127;6.463;1.567;0.635;3.162;0.627;0.504;255.629;0.612;16.672;0;0;57.069;3.044;0
128;4.239;1.037;0.994;2.942;0.685;0.656;254.806;0.762;11.594;0.167;1.2;27.944;3.076;0
129;3.554;0.8;0.771;2.025;0.799;0.792;246.179;1.341;7.396;0;0;0.143;1;0
130;3.129;0.783;1.427;2.671;0.67;0.689;242.333;0.678;9.216;0.667;1.333;11.167;8.739;0
131;2.9;0.562;2.01;1.614;0.675;0.641;210.333;0.978;7.452;0.944;1.259;2;12;0
132;9.289;1.842;1.123;3.768;0.606;0.59;245.276;1.021;29.265;0.897;1.529;76.416;18.94;0
133;3.879;0.729;1.683;2.418;0.625;0.571;225.167;0.86;10.212;1.64;1.311;11.145;7.566;0
134;4.422;0.816;0.843;3.206;0.612;0.607;244.5;0.637;14.268;1.836;1.375;54.01;22.322;0
135;3.405;0.751;0.874;1.964;0.785;0.782;239.889;1.317;7.31;0;0;0;0;0
136;3.685;0.654;1.242;2.134;0.693;0.656;236.75;1.167;9.03;0.528;1.357;0;0;0
137;3.478;0.738;1.184;1.848;0.778;0.766;237.25;1.359;7.386;0.056;1;0;0;0
138;2.406;0.503;1.316;2.316;0.471;0.366;196.444;0.332;7.286;6.407;1.454;41.406;4.267;0
139;3.862;0.736;1.722;2.772;0.496;0.4;232.139;0.463;12.458;6.671;1.395;53.755;7.992;0
140;2.207;0.535;0.853;1.562;0.679;0.684;185.85;0.762;4.957;0.8;2.667;1.1;11;0
141;2.362;0.57;1.513;1.513;0.666;0.646;184.694;0.739;5.555;1.389;1.562;2.306;5.533;0
142;2.946;0.616;1.202;2.399;0.687;0.716;230.861;0.717;8.075;0.25;1.286;6.694;10.478;0
143;3.172;0.664;1.899;2.557;0.645;0.629;229.944;0.685;9.288;1.167;1.68;13.389;8.31;0
144;2.092;0.412;1.537;2.291;0.671;0.666;220.583;0.513;5.541;0.528;1.583;9.444;8.095;0
145;3.946;0.72;1.446;2.027;0.733;0.75;230.833;1.165;8.971;0.389;1.4;2.194;9.875;0
147;3.309;0.632;1.078;1.819;0.709;0.694;222.667;1.086;7.655;0.584;1.312;0.083;3;0
148;1.586;0.42;1.027;1.29;0.599;0.575;187.029;0.454;3.88;5.853;1.519;1.323;5;0
149;3.389;0.709;1.095;1.671;0.772;0.773;232.972;1.37;7.177;0.111;1;0;0;0
150;1.001;0.281;1.889;2.518;0.434;0.349;181.556;0.123;3.724;14.194;2.231;52.611;6.838;0
151;1.014;0.282;1.835;1.627;0.521;0.468;179.611;0.202;3.242;8.03;2.05;18.394;7.609;0
152;1.937;0.487;1.14;1.327;0.759;0.812;185.417;0.673;4.192;0.139;5;7.972;17.938;0
153;1.856;0.487;1.605;2.1;0.515;0.462;182.156;0.293;5.334;6.469;1.656;30.375;5.089;0
154;1.413;0.364;1.394;1.429;0.706;0.714;185.361;0.425;3.325;1.278;1.769;7.75;10.731;0
155;1.147;0.329;0.504;1.13;0.689;0.644;180.694;0.446;2.621;1.306;1.424;0.222;2;0
156;0.736;0.202;1.224;1.201;0.65;0.607;183.5;0.298;1.783;2.861;1.561;0.028;1;0
157;0.895;0.231;1.675;2.656;0.459;0.381;174.944;0.069;2.971;10.452;1.701;61.102;6.581;0.01
158;0.794;0.205;2.428;2.785;0.425;0.337;173.933;0.039;2.78;11.899;1.741;75.73;7.056;0.012
159;0.786;0.209;0.88;1.481;0.642;0.581;179.538;0.275;2.237;0.038;1;0.769;2.5;0
160;0.491;0.132;1.018;1.632;0.659;0.621;175.444;0.091;1.298;0.083;1;19.806;8.102;0.01
161;2.309;0.649;0.73;0.601;0.901;0.899;186.889;1.45;3.286;0.056;2;0;0;0
162;0.895;0.243;1.079;1.324;0.75;0.752;180.444;0.318;1.995;0.083;1;2.25;11.571;0
163;1.931;0.555;1.004;1.08;0.639;0.588;172.111;0.802;4.678;3.722;1.441;0.083;1.5;0
164;1.473;0.424;0.5;1.049;0.68;0.626;177.722;0.604;3.286;1.917;1.327;1.917;6.9;0
165;1.454;0.434;1.595;1.062;0.615;0.563;171.967;0.562;3.625;4.5;1.517;0.1;3;0
166;0.823;0.244;0.996;1.226;0.575;0.511;173.029;0.276;2.17;5.8;1.75;2.286;3.333;0
167;1.379;0.414;1.015;0.768;0.724;0.701;174.028;0.742;2.881;2.083;1.293;0;0;0
168;1.281;0.399;1.025;1.343;0.633;0.601;175.444;0.424;3.247;3.852;1.465;0.556;3;0
169;1.243;0.363;1.625;1.356;0.602;0.557;173.389;0.399;3.109;4.972;1.627;1.194;1.955;0
