ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
1;;;;;;;;;;;;;;
2;3.762;0.765;1.025;2.209;0.737;0.781;243.55;1.107;9.711;0.1;1;0;0;0
3;0.87;0.184;1.835;0.968;0.717;0.714;229.3;0.415;2.52;4.9;2.513;0;0;0
4;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;
6;4.894;0.95;1.071;2.483;0.67;0.653;232.55;1.17;12.947;0.45;1.125;6.1;7.625;0
7;2.054;0.419;1.809;1.615;0.734;0.657;231.75;0.731;4.73;0.55;1.833;1;2.5;0
8;;;;;;;;;;;;;;
9;4.376;0.89;1.242;1.473;0.764;0.628;232.8;1.482;8.902;0.05;1;1.65;1.179;0
10;5.377;1.085;1.126;2.712;0.552;0.525;223.65;0.753;16.955;4.75;1.827;46.65;8.184;0
11;;;;;;;;;;;;;;
12;4.388;0.915;1.029;0.747;0.872;0.9;199.95;2.354;6.803;0;0;0;0;0
13;3.064;0.671;1.527;1.526;0.767;0.699;237.35;1.146;6.765;0.05;1;0.3;1;0
14;4.419;0.912;1.165;2.92;0.395;0.283;213.2;0.434;15.538;12.5;1.437;75.05;6.731;0
15;3.458;0.725;1.343;2.703;0.407;0.297;199.75;0.378;12.294;12.55;1.494;62.55;5.986;0
16;3.451;0.725;0.757;2.551;0.458;0.347;209.3;0.487;10.788;6.8;1.308;46.05;4.772;0
17;;;;;;;;;;;;;;
18;2.086;0.447;1.783;1.846;0.569;0.503;206.7;0.522;5.91;4.15;1.456;4.95;3.96;0
19;3.008;0.637;1.214;2.417;0.492;0.391;206.8;0.499;9.042;5.2;1.333;30.35;5.468;0
20;5.452;1.038;1.319;3.106;0.584;0.553;235.9;0.808;17.246;3.25;1.413;49.4;11.227;0
21;4.91;0.938;1.089;2.71;0.584;0.551;228.55;0.732;14.659;1.85;1.37;35.3;8.716;0
22;4.964;0.959;1.487;2.682;0.564;0.519;226.6;0.755;14.921;2.1;1.273;42.05;9.043;0
23;;;;;;;;;;;;;;
24;5.707;1.082;0.999;3.412;0.496;0.41;229.75;0.613;19.211;6.5;1.477;71.2;9.368;0
25;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;
27;2.643;0.524;0.972;2.676;0.451;0.363;196.15;0.407;8.93;9.7;1.481;45.5;4.973;0
28;3.664;0.79;1.265;2.484;0.43;0.321;174.1;0.574;13.171;11.75;1.416;38.5;5.133;0
29;4.773;0.948;1.052;2.079;0.567;0.436;209.4;0.822;13.049;1.3;1.3;25.9;2.629;0
30;3.063;0.67;1.58;2.579;0.402;0.291;194.95;0.282;10.961;12.75;1.564;61.4;5.434;0
32;2.75;0.627;1.476;2.722;0.415;0.312;171.05;0.38;10.24;13.954;1.516;52.414;5.214;0
33;5.314;1.04;0.543;4.233;0.634;0.683;251.35;0.431;17.42;3.45;2.3;96.45;26.068;0
34;4.82;0.94;1.345;3.39;0.643;0.675;248.3;0.728;15.425;3.4;2.194;52.25;19.717;0
35;4.661;0.908;1.258;3.045;0.645;0.66;242;0.789;14.123;1.65;1.571;33.45;15.929;0
36;5.046;0.95;1.717;2.533;0.654;0.645;242.95;1.058;14.059;1.55;1.292;15.45;17.167;0
37;;;;;;;;;;;;;;
38;3.762;0.738;1.633;2.315;0.706;0.734;240.3;0.858;9.924;0.7;1.75;10.3;11.444;0
39;3.579;0.735;1.743;2.043;0.647;0.603;213.9;0.957;8.769;1;1.538;2;2.667;0
40;3.178;0.653;1.274;2.191;0.788;0.871;242.25;0.972;7.116;0.1;1;0;0;0
41;0.885;0.181;2.857;1.997;0.796;0.852;229.55;0.167;2.036;0.15;1;20.5;41;0
42;2.637;0.544;2.047;2.644;0.714;0.764;237.3;0.597;6.822;0.5;1.667;7.4;12.333;0
43;2.754;0.571;2.113;1.76;0.75;0.771;228.2;0.882;6.232;0.25;1.667;0;0;0
