YYYY;MM;DD;hh;mm
1994;7;20;23;0
1994;7;21;0;0
1994;7;21;1;0
1994;7;21;2;0
1994;7;21;3;0
1994;7;21;4;0
1994;7;21;5;0
1994;7;21;6;0
1994;7;21;7;0
1994;7;21;8;0
1994;7;21;9;0
1994;7;21;10;0
1994;7;21;11;0
1994;7;21;12;0
1994;7;21;13;0
1994;7;21;14;0
1994;7;21;15;0
1994;7;21;16;0
1994;7;21;17;0
1994;7;21;18;0
1994;7;21;19;0
1994;7;21;20;0
1994;7;21;21;0
1994;7;21;22;0
1994;7;21;23;0
1994;7;22;0;0
1994;7;22;1;0
1994;7;22;2;0
1994;7;22;3;0
1994;7;22;4;0
1994;7;22;5;0
1994;7;22;6;0
1994;7;22;7;0
1994;7;22;8;0
1994;7;22;9;0
1994;7;22;10;0
1994;7;22;11;0
1994;7;22;12;0
1994;7;22;13;0
1994;7;22;14;0
1994;7;22;15;0
1994;7;22;16;0
1994;7;22;17;0
1994;7;22;18;0
1994;7;22;19;0
1994;7;22;20;0
1994;7;22;21;0
1994;7;22;22;0
1994;7;22;23;0
1994;7;23;0;0
1994;7;23;1;0
1994;7;23;2;0
1994;7;23;3;0
1994;7;23;4;0
1994;7;23;5;0
1994;7;23;6;0
1994;7;23;7;0
1994;7;23;8;0
1994;7;23;9;0
1994;7;23;10;0
1994;7;23;11;0
1994;7;23;12;0
1994;7;23;13;0
1994;7;23;14;0
1994;7;23;15;0
1994;7;23;16;0
1994;7;23;17;0
1994;7;23;18;0
1994;7;23;19;0
1994;7;23;20;0
1994;7;23;21;0
1994;7;23;22;0
1994;7;23;23;0
1994;7;24;0;0
1994;7;24;1;0
1994;7;24;2;0
1994;7;24;3;0
1994;7;24;4;0
1994;7;24;5;0
1994;7;24;6;0
1994;7;24;7;0
1994;7;24;8;0
1994;7;24;9;0
1994;7;24;10;0
1994;7;24;11;0
1994;7;24;12;0
1994;7;24;13;0
1994;7;24;14;0
1994;7;24;15;0
1994;7;24;16;0
1994;7;24;17;0
1994;7;24;18;0
1994;7;24;19;0
1994;7;24;20;0
1994;7;24;21;0
1994;7;24;22;0
