YYYY;MM;DD;hh;mm
2017;3;28;16;0
2017;4;21;7;0
2017;4;21;8;0
2017;4;21;9;0
2017;4;21;10;0
2017;4;21;11;0
2017;4;21;12;0
2017;4;21;13;0
2017;4;21;14;0
2017;4;21;15;0
2017;4;21;16;0
2017;4;21;17;0
2017;4;21;18;0
2017;4;21;19;0
2017;4;21;20;0
2017;4;21;21;0
2017;4;21;22;0
2017;4;21;23;0
2017;4;22;0;0
2017;4;22;1;0
2017;4;22;2;0
2017;4;22;3;0
2017;4;22;4;0
2017;4;22;5;0
2017;4;22;6;0
2017;4;22;7;0
2017;4;22;8;0
2017;4;22;9;0
2017;5;2;4;0
2017;5;2;5;0
2017;5;2;6;0
2017;5;2;7;0
2017;5;2;8;0
2017;5;2;9;0
2017;5;2;10;0
2017;5;2;11;0
2017;5;2;12;0
2017;5;2;13;0
2017;5;2;14;0
2017;5;2;15;0
2017;5;2;16;0
2017;5;2;17;0
2017;5;2;18;0
2017;5;2;19;0
2017;5;2;20;0
2017;5;2;21;0
2017;5;2;22;0
2017;5;2;23;0
2017;5;3;0;0
2017;5;3;1;0
2017;5;3;2;0
2017;5;3;3;0
2017;5;3;4;0
2017;5;22;21;0
2017;6;6;18;0
2017;6;12;18;0
2017;6;19;21;0
2017;8;3;11;0
2017;8;10;21;0
2017;10;30;21;0
