YYYY;MM;DD;hh;mm
1990;1;8;17;0
1990;1;8;18;0
1990;1;8;19;0
1990;1;8;20;0
1990;1;8;21;0
1990;1;8;22;0
1990;1;8;23;0
1990;1;9;0;0
1990;1;9;1;0
1990;1;9;2;0
1990;1;9;3;0
1990;1;9;4;0
1990;1;9;5;0
1990;1;9;6;0
1990;1;9;7;0
1990;1;9;8;0
1990;1;9;9;0
1990;1;9;10;0
1990;1;9;11;0
1990;1;9;12;0
1990;1;9;13;0
1990;1;9;14;0
1990;1;9;15;0
1990;1;9;16;0
1990;1;9;17;0
1990;1;9;18;0
1990;1;9;19;0
1990;1;9;20;0
1990;1;9;21;0
1990;1;9;22;0
1990;1;9;23;0
1990;1;10;0;0
1990;1;10;1;0
1990;1;10;2;0
1990;1;10;3;0
1990;1;10;4;0
1990;1;10;5;0
1990;1;10;6;0
1990;1;10;7;0
1990;1;10;8;0
1990;1;10;9;0
1990;1;10;10;0
1990;1;10;11;0
1990;1;10;12;0
1990;1;10;13;0
1990;1;10;14;0
1990;1;10;15;0
1990;1;10;16;0
1990;1;10;17;0
1990;1;10;18;0
1990;1;10;19;0
1990;1;10;20;0
1990;1;10;21;0
1990;1;10;22;0
1990;1;10;23;0
1990;1;11;0;0
1990;1;11;1;0
1990;1;11;2;0
1990;1;11;3;0
1990;1;11;4;0
1990;1;11;5;0
1990;1;11;6;0
1990;1;11;7;0
1990;1;11;8;0
1990;1;11;9;0
1990;1;11;10;0
1990;1;11;11;0
1990;1;11;12;0
1990;1;11;13;0
1990;1;11;14;0
1990;1;11;15;0
1990;1;11;16;0
1990;1;11;17;0
1990;1;11;18;0
1990;1;11;19;0
1990;1;11;20;0
1990;1;11;21;0
1990;1;11;22;0
1990;1;11;23;0
1990;1;12;0;0
1990;1;12;1;0
1990;1;12;2;0
1990;1;12;3;0
1990;1;12;4;0
1990;1;12;5;0
1990;1;12;6;0
1990;1;12;7;0
1990;1;12;8;0
1990;1;12;9;0
1990;1;12;10;0
1990;1;12;11;0
1990;1;12;12;0
1990;1;12;13;0
1990;1;12;14;0
1990;1;12;15;0
1990;1;12;16;0
1990;1;12;17;0
1990;1;12;18;0
1990;1;12;19;0
1990;1;12;20;0
1990;1;12;21;0
1990;1;12;22;0
1990;1;12;23;0
1990;1;13;0;0
1990;1;13;1;0
1990;1;13;2;0
1990;1;13;3;0
1990;1;13;4;0
1990;1;13;5;0
1990;1;13;6;0
1990;1;13;7;0
1990;1;13;8;0
1990;1;13;9;0
1990;1;13;10;0
1990;1;13;11;0
1990;1;13;12;0
1990;1;13;13;0
1990;1;13;14;0
1990;1;13;15;0
1990;1;13;16;0
1990;1;13;17;0
1990;1;13;18;0
1990;1;13;19;0
1990;1;13;20;0
1990;1;13;21;0
1990;1;13;22;0
1990;1;13;23;0
1990;1;14;0;0
1990;1;14;1;0
1990;1;14;2;0
1990;1;14;3;0
1990;1;14;4;0
1990;1;14;5;0
1990;1;14;6;0
1990;1;14;7;0
1990;1;14;8;0
1990;1;14;9;0
1990;1;14;10;0
1990;1;14;11;0
1990;1;14;12;0
1990;1;14;13;0
1990;1;14;14;0
1990;1;14;15;0
1990;1;14;16;0
1990;1;14;17;0
1990;1;14;18;0
1990;1;14;19;0
1990;1;14;20;0
1990;1;14;21;0
1990;1;14;22;0
1990;1;14;23;0
1990;1;15;0;0
1990;1;15;1;0
1990;1;15;2;0
1990;1;15;3;0
1990;1;15;4;0
1990;1;15;5;0
1990;1;15;6;0
1990;1;15;7;0
1990;1;15;8;0
1990;1;15;9;0
1990;1;15;10;0
1990;1;15;11;0
1990;1;15;12;0
1990;1;15;13;0
1990;1;15;14;0
1990;1;15;15;0
1990;1;15;16;0
1990;1;15;17;0
1990;1;15;18;0
1990;1;15;19;0
1990;1;15;20;0
1990;1;15;21;0
1990;1;15;22;0
1990;1;15;23;0
1990;1;16;0;0
1990;1;16;1;0
1990;1;16;2;0
1990;1;16;3;0
1990;1;16;4;0
1990;1;16;5;0
1990;1;16;6;0
1990;1;16;7;0
1990;1;16;8;0
1990;1;16;9;0
1990;1;16;10;0
1990;1;16;11;0
1990;1;16;12;0
1990;1;16;13;0
1990;1;16;14;0
1990;1;16;15;0
1990;1;16;16;0
1990;1;16;17;0
1990;1;16;18;0
1990;1;16;19;0
1990;1;16;20;0
1990;1;16;21;0
1990;1;16;22;0
1990;1;16;23;0
1990;1;17;0;0
1990;1;17;1;0
1990;1;17;2;0
1990;1;17;3;0
1990;1;17;4;0
1990;1;17;5;0
1990;1;17;6;0
1990;1;17;7;0
1990;1;17;8;0
1990;1;17;9;0
1990;1;17;10;0
1990;1;17;11;0
1990;1;17;12;0
1990;1;17;13;0
1990;1;17;14;0
1990;1;17;15;0
1990;1;17;16;0
1990;1;17;17;0
1990;1;17;18;0
1990;1;17;19;0
1990;1;17;20;0
1990;1;17;21;0
1990;1;17;22;0
1990;1;17;23;0
1990;1;18;0;0
1990;1;18;1;0
1990;1;18;2;0
1990;1;18;3;0
1990;1;18;4;0
1990;1;18;5;0
1990;1;18;6;0
1990;1;18;7;0
1990;1;18;8;0
1990;1;18;9;0
1990;1;18;10;0
1990;1;18;11;0
1990;1;18;12;0
1990;1;18;13;0
1990;1;18;14;0
1990;1;18;15;0
1990;1;18;16;0
1990;1;18;17;0
1990;1;18;18;0
1990;1;18;19;0
1990;1;18;20;0
1996;12;25;2;0
1996;12;25;3;0
1996;12;25;4;0
1996;12;25;5;0
1996;12;25;6;0
1996;12;25;7;0
1996;12;25;8;0
1996;12;25;9;0
1996;12;25;10;0
1996;12;25;11;0
1996;12;25;12;0
1996;12;25;13;0
1996;12;25;14;0
1996;12;25;15;0
1996;12;25;16;0
1996;12;25;17;0
1996;12;25;18;0
1996;12;25;19;0
1996;12;25;20;0
1996;12;25;21;0
1996;12;25;22;0
1996;12;25;23;0
1996;12;26;0;0
1996;12;26;1;0
1996;12;26;2;0
1996;12;26;3;0
1996;12;26;4;0
