YYYY;MM;DD;hh;mm
1985;9;2;23;0
1985;9;3;0;0
1985;9;3;1;0
1985;9;3;2;0
1985;9;3;3;0
1985;9;3;4;0
1985;9;3;5;0
1985;9;3;6;0
1985;9;3;7;0
1985;9;3;8;0
1985;9;3;9;0
1985;9;3;10;0
1985;9;3;11;0
1985;9;3;12;0
1985;9;3;13;0
1985;9;3;14;0
1985;9;3;15;0
1985;9;3;16;0
1985;9;3;17;0
1985;9;3;18;0
1985;9;3;19;0
1985;9;3;20;0
1985;9;3;21;0
1985;9;3;22;0
1985;9;3;23;0
1985;9;4;0;0
1985;9;4;1;0
1985;9;4;2;0
1985;9;4;3;0
1985;9;4;4;0
1985;9;4;5;0
1985;9;4;6;0
1985;9;4;7;0
1985;9;4;8;0
1985;9;4;9;0
1985;9;4;10;0
1985;9;4;11;0
1985;9;4;12;0
1985;9;4;13;0
1985;9;4;14;0
1985;9;4;15;0
1985;9;4;16;0
1985;9;4;17;0
1985;9;4;18;0
1985;9;4;19;0
1985;9;4;20;0
1985;9;4;21;0
1985;9;4;22;0
1985;9;4;23;0
1985;9;5;0;0
1985;9;5;1;0
1985;9;5;2;0
1985;9;5;3;0
1985;9;5;4;0
1985;9;5;5;0
1985;9;5;6;0
1985;9;5;7;0
1985;9;5;8;0
1985;9;5;9;0
1985;9;5;10;0
1985;9;5;11;0
1985;9;5;12;0
1985;9;5;13;0
1985;9;5;14;0
1985;9;5;15;0
1985;9;5;16;0
1985;9;5;17;0
1985;9;5;18;0
1985;9;5;19;0
1985;9;5;20;0
1985;9;5;21;0
1985;9;5;22;0
1985;9;5;23;0
1985;9;6;0;0
1985;9;6;1;0
1985;9;6;2;0
1985;9;6;3;0
1985;9;6;4;0
1985;9;6;5;0
1985;9;6;6;0
1985;9;6;7;0
1985;9;6;8;0
1985;9;6;9;0
1985;9;6;10;0
1985;9;6;11;0
1985;9;6;12;0
1985;9;6;13;0
1985;9;6;14;0
1985;9;6;15;0
1985;9;6;16;0
1985;9;6;17;0
1985;9;6;18;0
1985;9;6;19;0
1985;9;6;20;0
1985;9;6;21;0
1985;9;6;22;0
1985;9;6;23;0
1985;9;7;0;0
1985;9;7;1;0
1985;9;7;2;0
1985;9;7;3;0
1985;9;7;4;0
1985;9;7;5;0
1985;9;7;6;0
1985;9;7;7;0
1985;9;7;8;0
1985;9;7;9;0
1985;9;7;10;0
1985;9;7;11;0
1985;9;7;12;0
1985;9;7;13;0
1985;9;7;14;0
1985;9;7;15;0
1985;9;7;16;0
1985;9;7;17;0
1985;9;7;18;0
1985;9;7;19;0
1985;9;7;20;0
1985;9;7;21;0
1985;9;7;22;0
1985;9;7;23;0
1985;9;8;0;0
1985;9;8;1;0
1985;9;8;2;0
1985;9;8;3;0
1985;9;8;4;0
1985;9;8;5;0
1985;9;8;6;0
1985;9;8;7;0
1985;9;8;8;0
1985;9;8;9;0
1985;9;8;10;0
1985;9;8;11;0
1985;9;8;12;0
1985;9;8;13;0
1985;9;8;14;0
1985;9;8;15;0
1985;9;8;16;0
1985;9;8;17;0
1985;9;8;18;0
1985;9;8;19;0
1985;9;8;20;0
1985;9;8;21;0
1985;9;8;22;0
1985;9;8;23;0
1985;9;9;0;0
1985;9;9;1;0
1985;9;9;2;0
1985;9;9;3;0
1985;9;9;4;0
1985;9;9;5;0
1985;9;9;6;0
1985;9;9;7;0
1985;9;9;8;0
1985;9;9;9;0
1985;9;9;10;0
1985;9;9;11;0
1985;9;9;12;0
1985;9;9;13;0
1985;9;9;14;0
1985;9;9;15;0
1985;9;9;16;0
1985;9;9;17;0
1985;9;9;18;0
1985;9;9;19;0
1985;9;9;20;0
1985;9;9;21;0
1985;9;9;22;0
