YYYY;MM;DD;hh;mm
2008;5;12;8;0
2008;5;12;9;0
2008;5;12;10;0
2008;5;12;11;0
2008;5;12;12;0
2008;5;12;13;0
2008;5;12;14;0
2008;5;12;15;0
2008;5;12;16;0
2008;5;12;17;0
2008;5;12;18;0
2008;5;12;19;0
2008;5;12;20;0
2008;5;12;21;0
2008;5;12;22;0
2008;5;12;23;0
2008;5;13;0;0
2008;5;13;1;0
2008;5;13;2;0
2008;5;13;3;0
2008;5;13;4;0
2008;5;13;5;0
2008;5;13;6;0
2008;5;13;7;0
2008;5;13;8;0
2008;5;13;9;0
2008;5;13;10;0
2008;5;13;11;0
2008;5;13;12;0
2008;5;13;13;0
2008;5;13;14;0
2008;5;13;15;0
2008;5;13;16;0
2008;5;13;17;0
2008;5;13;18;0
2008;5;13;19;0
2008;5;13;20;0
2008;5;13;21;0
2008;5;13;22;0
2008;5;13;23;0
2008;5;14;0;0
2008;5;14;1;0
2008;5;14;2;0
2008;5;14;3;0
2008;5;14;4;0
2008;5;14;5;0
2008;5;14;6;0
2008;5;14;7;0
2008;5;14;8;0
2008;5;14;9;0
2008;5;14;10;0
2008;5;14;11;0
2008;5;14;12;0
2008;5;14;13;0
2008;5;14;14;0
2008;5;14;15;0
2008;5;14;16;0
2008;5;14;17;0
2008;5;14;18;0
2008;5;14;19;0
2008;5;14;20;0
2008;5;14;21;0
2008;5;14;22;0
2008;5;14;23;0
2008;5;15;0;0
2008;5;15;1;0
2008;5;15;2;0
2008;5;15;3;0
2008;5;15;4;0
2008;5;15;5;0
2008;5;15;6;0
2008;5;15;7;0
2008;5;15;8;0
2008;5;15;9;0
2008;5;15;10;0
2008;5;15;11;0
2008;5;15;12;0
2008;5;15;13;0
2008;5;15;14;0
2008;5;15;15;0
2008;5;15;16;0
2008;5;15;17;0
2008;5;15;18;0
2008;5;15;19;0
2008;5;15;20;0
2008;5;15;21;0
2008;5;15;22;0
2008;5;15;23;0
2008;5;16;0;0
2008;5;16;1;0
2008;5;16;2;0
2008;5;16;3;0
2008;5;16;4;0
2008;5;16;5;0
2008;5;16;6;0
2008;5;16;7;0
2008;5;16;8;0
2008;5;16;9;0
2008;5;16;10;0
2008;5;16;11;0
2008;5;16;12;0
2008;5;16;13;0
2008;5;16;14;0
2008;5;16;15;0
2008;5;16;16;0
2008;5;16;17;0
2008;5;16;18;0
2008;5;16;19;0
2008;5;16;20;0
2008;5;16;21;0
2008;5;16;22;0
2008;5;16;23;0
2008;5;17;0;0
2008;5;17;1;0
2008;5;17;2;0
2008;5;17;3;0
2008;5;17;4;0
2008;5;17;5;0
2008;5;17;6;0
2008;5;17;7;0
2008;5;17;8;0
2008;5;17;9;0
2008;5;17;10;0
2008;5;17;11;0
2008;5;17;12;0
2008;5;17;13;0
2008;5;17;14;0
2008;5;17;15;0
2008;5;17;16;0
2008;5;17;17;0
2008;5;17;18;0
2008;5;17;19;0
2008;5;17;20;0
2008;5;17;21;0
2008;5;17;22;0
2008;5;17;23;0
2008;5;18;0;0
2008;5;18;1;0
2008;5;18;2;0
2008;5;18;3;0
2008;5;18;4;0
2008;5;18;5;0
2008;5;18;6;0
2008;5;18;7;0
2008;5;18;8;0
2008;5;18;9;0
2008;5;18;10;0
2008;5;18;11;0
2008;5;18;12;0
2008;5;18;13;0
2008;5;18;14;0
2008;5;18;15;0
2008;5;18;16;0
2008;5;18;17;0
2008;5;18;18;0
2008;5;18;19;0
2008;5;18;20;0
2008;5;18;21;0
2008;5;18;22;0
2008;5;18;23;0
2008;5;19;0;0
2008;5;19;1;0
2008;5;19;2;0
2008;5;19;3;0
2008;5;19;4;0
2008;5;19;5;0
2008;5;19;6;0
2008;5;19;7;0
2008;5;19;8;0
2008;5;19;9;0
2008;5;19;10;0
2008;5;19;11;0
2008;5;19;12;0
2008;5;19;13;0
2008;5;19;14;0
2008;5;19;15;0
2008;5;19;16;0
2008;5;19;17;0
2008;5;19;18;0
2008;5;19;19;0
2008;5;19;20;0
2008;5;19;21;0
2008;5;19;22;0
2008;5;19;23;0
2008;5;20;0;0
2008;5;20;1;0
2008;5;20;2;0
2008;5;20;3;0
2008;5;20;4;0
2008;5;20;5;0
2008;5;20;6;0
2008;5;20;7;0
2008;5;20;8;0
2008;5;20;9;0
2008;5;20;10;0
2008;5;20;11;0
2008;5;20;12;0
2008;5;20;13;0
2008;5;20;14;0
2008;5;20;15;0
2008;5;20;16;0
2008;5;20;17;0
2008;5;20;18;0
2008;5;20;19;0
2008;5;20;20;0
2008;5;20;21;0
2008;5;20;22;0
2008;5;20;23;0
2008;5;21;0;0
2008;5;21;1;0
2008;5;21;2;0
2008;5;21;3;0
2008;5;21;4;0
2008;5;21;5;0
2008;5;21;6;0
2008;5;21;7;0
2008;5;21;8;0
2008;5;21;9;0
