ID;start_ID;end_ID
230;RL35082232;RL35084373
231;RL35082232;RL35085490
232;RL35084654;RL35122181
233;RL35082232;RL35122643
234;RL35081810;RL35123093
235;RL35085721;RL35085722
236;RL35084598;RL35085249
237;RL35084598;RL35122506
238;RL35122063;RL35122539
239;RL35084598;RL35123866
240;RL35123170;RL35123864
241;RL35125713;RL35124821
242;RL35125868;RL35125011
243;RL35125713;RL35124306
244;RL35049578;RL35051515
245;RL35075767;RL35077366
246;RL35075888;RL35077352
247;RL35076222;RL35077049
248;RL35049578;RL35077684
249;RL35049578;RL35079493
250;RL35076692;RL35079490
251;RL35078045;RL35079905
252;RL35049578;RL35080308
253;RL35079004;RL35080136
254;RL35049578;RL35080640
255;RL35079980;RL35081215
256;RL35084884;RL35083390
257;RL35083386;RL35082353
258;RL35084884;RL35082181
259;RL35082206;RL35082697
260;RL35085068;RL35084733
261;RL35085629;RL35085439
262;RL35082858;RL35085088
263;RL35049578;RL35122331
264;RL35151025;RL35081657
265;RL35082199;RL35082019
266;RL35081392;RL35082020
267;RL35081392;RL35083176
268;RL35081539;RL35082105
269;RL35082172;RL35082435
270;RL35081539;RL35082691
271;RL35082149;RL35082149
272;RL35083004;RL35082903
273;RL35081539;RL35083104
274;RL35083359;RL35083359
275;RL35083421;RL35083575
276;RL35081539;RL35084336
277;RL35083600;RL35084644
278;RL35082799;RL35085050
279;RL35085080;RL35085240
280;RL35081539;RL35122386
281;RL35049578;RL35122351
282;RL35122009;RL35122396
283;RL35126365;RL35126012
284;RL35126365;RL35125646
285;RL35126327;RL35125955
286;RL35126327;RL35124803
287;RL35126327;RL35124625
288;RL35122576;RL35123700
289;RL35125818;RL35125386
290;RL35126074;RL35125564
291;RL35125818;RL35123770
292;RL35124810;RL35123738
293;RL35125238;RL35123928
294;RL35083743;RL35085055
295;RL35084334;RL35085003
296;RL35083743;RL35084589
297;RL35083743;RL35085241
298;RL35085133;RL35121791
299;RL35121902;RL35122604
300;RL35083743;RL35123067
301;RL35084459;RL35084663
302;RL35084938;RL35085023
303;RL35085277;RL35085288
304;RL35084459;RL35121804
305;RL35085631;RL35121817
306;RL35121930;RL35122109
307;RL35084459;RL35122450
308;RL35122236;RL35122285
309;RL35121733;RL35122700
310;RL35121733;RL35123270
311;RL35084459;RL35123658
312;RL35124785;RL35124785
313;RL35125258;RL35124418
314;RL35114198;RL35124213
315;RL35122432;RL35123407
316;RL35122683;RL35123268
317;RL35122683;RL35124127
318;RL35121694;RL35122104
319;RL35122033;RL35122535
320;RL35122033;RL35123597
321;RL35123604;RL35123970
322;RL35125071;RL35125278
323;RL35114198;RL35125456
324;RL35124527;RL35125574
325;RL35085464;RL35121866
326;RL35084756;RL35085293
327;RL35084756;RL35121748
328;RL35084756;RL35122853
329;RL35122267;RL35122567
330;RL35121950;RL35122791
331;RL35121950;RL35122861
332;RL35084756;RL35123648
333;RL35084756;RL35125299
334;RL35126170;RL35126228
335;RL35126416;RL35126655
336;RL35126416;RL35126687
337;RL35125992;RL35126162
338;RL35125992;RL35126482
339;RL35126416;RL35126926
340;RL35127062;RL35127111
341;RL35127062;RL35126904
342;RL35126416;RL35126441
343;RL35125624;RL35125893
344;RL35124008;RL35124189
345;RL35124008;RL35124923
346;RL35123296;RL35124860
347;RL35124591;RL35124818
348;RL35125414;RL35125414
349;RL35127027;RL35126632
350;RL35126829;RL35126167
351;RL35114198;RL35125412
352;RL35125010;RL35125098
354;RL35124614;RL35124614
355;RL35124068;RL35124500
356;RL35123641;RL35123295
357;RL35123641;RL35122910
358;RL35123641;RL35122875
359;RL35122949;RL35122505
360;RL35122949;RL35122217
361;RL35123536;RL35123387
363;RL35123719;RL35123728
364;RL35122949;RL35123990
366;RL35085112;RL35121643
367;RL35085112;RL35121689
368;RL35085112;RL35121755
370;RL35085112;RL35122370
371;RL35085112;RL35123721
372;RL35114198;RL35123908
373;RL35114198;RL35124338
374;RL35126319;RL35126022
375;RL35126319;RL35124952
376;RL35126319;RL35124569
377;RL27004426;RL27004434
378;RL27004432;RL27004633
379;RL27030140;RL27004965
380;RL27005105;RL27004867
381;RL27030140;RL27004631
382;RL27029746;RL27004922
383;RL35127114;RL35127321
384;RL35129030;RL35128181
385;RL35127114;RL35128377
386;RL35130393;RL35128464
387;RL35127114;RL35128009
388;RL35127436;RL35127950
389;RL35127114;RL35128182
390;RL35127574;RL35127320
391;RL35127574;RL35127389
392;RL35127892;RL35127617
393;RL35127114;RL35127744
394;RL35127114;RL35127171
395;RL35151181;RL35126982
396;RL35151181;RL35127116
397;RL35127114;RL35125921
398;RL35126406;RL35126207
399;RL35114198;RL35124443
401;RL35121936;RL35084862
402;RL35084558;RL35084323
403;RL35121936;RL35084326
404;RL35121936;RL35082917
405;RL35084664;RL35083987
406;RL35084664;RL35083764
407;RL35121936;RL35084249
408;RL35081314;RL35081752
409;RL35081522;RL35081866
410;RL35081522;RL35082688
411;RL35082341;RL35082871
412;RL35081522;RL35084034
413;RL35121936;RL35085200
414;RL35121936;RL35085691
415;RL35084840;RL35085222
416;RL35084783;RL35085338
422;RL35121936;RL35122492
423;RL35121936;RL35123587
426;RL35121936;RL35122882
428;RL35081845;RL35081420
429;RL35081845;RL35080230
430;RL35083114;RL35081425
431;RL35084278;RL35085124
432;RL35084278;RL35085152
433;RL35084278;RL35085585
434;RL35084278;RL35121961
435;RL35082355;RL35082355
436;RL35077933;RL35076687
437;RL35077933;RL35076635
438;RL35077933;RL35075885
439;RL35078177;RL35075808
440;RL35077933;RL35075402
441;RL35075985;RL35074858
442;RL35077933;RL35074225
443;RL35077933;RL35073200
444;RL35077933;RL35073019
445;RL35079160;RL35079018
446;RL35079160;RL35079018
447;RL35079879;RL35077858
448;RL35079160;RL35076775
449;RL35078692;RL35077963
450;RL35077883;RL35077748
451;RL35077883;RL35076006
452;RL35079160;RL35074361
453;RL35081357;RL35080708
454;RL35081357;RL35077353
455;RL35076855;RL35074813
456;RL35081357;RL35073824
457;RL35080727;RL35079465
458;RL35080727;RL35077709
459;RL35079993;RL35077615
460;RL35080727;RL35076798
461;RL35080042;RL35078667
462;RL35080042;RL35077027
463;RL35080727;RL35076794
464;RL35080727;RL35075137
465;RL35077794;RL35076316
466;RL35077794;RL35075544
467;RL35077794;RL35074791
468;RL35077794;RL35074595
469;RL35080951;RL35080792
470;RL35080951;RL35079675
471;RL35047567;RL35073724
472;RL35048362;RL35073828
473;RL35048362;RL35073637
474;RL35048362;RL35074156
475;RL35075113;RL35074224
476;RL35075958;RL35074729
477;RL35075829;RL35074788
478;RL35076207;RL35074839
479;RL35075113;RL35074347
480;RL35072552;RL35073517
481;RL35048362;RL35073461
482;RL35048362;RL35074188
483;RL35075773;RL35074627
484;RL35048362;RL35075490
485;RL35077411;RL35077315
486;RL35077411;RL35075774
487;RL35048362;RL35075336
488;RL35074002;RL35074974
489;RL35077531;RL35076238
490;RL35077901;RL35078290
491;RL35079220;RL35078474
492;RL35083494;RL35083308
493;RL35083494;RL35082319
494;RL35083494;RL35080527
495;RL35079056;RL35079762
496;RL35081936;RL35079699
497;RL35083494;RL35079165
498;RL35080836;RL35079177
499;RL35048362;RL35078851
500;RL35075989;RL35075848
