YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;9.12;9.53;-6;-5.8;0;0;0;0;95.58;100;682.48;677.71;9.12;9.53;3.28;1.53;2.11
1981;1;2;14.98;15.69;-5.1;-4.3;0;0;0;0;95.36;99.76;681.63;676.86;24.09;25.22;3.31;1.54;2.1
1981;1;3;10.3;10.67;-1.5;-0.8;0;0;0;0;95.55;100.42;680.72;675.94;32.14;31.15;3.21;1.5;2.81
1981;1;4;17.99;18.37;-2.4;-1.8;0;0;0;0;95.44;100.18;679.4;674.99;49.98;49.22;3.14;1.48;4.76
1981;1;5;18.21;18.43;-7.9;-7.1;0;0;0;0;95.44;100.18;677.75;673.35;68.19;67.65;3.12;1.46;3.1
1981;1;6;16.87;17.75;-8.5;-7.8;0;0;0;0;95.44;100.18;676.1;671.72;85.06;85.4;3.1;1.46;2.87
1981;1;7;12.96;13.43;-11.4;-10.7;0;0;0;0;95.44;100.18;674.46;670.08;98.02;98.83;3.07;1.45;2.73
1981;1;8;5.11;5.32;-14.5;-13.7;0;0;0;0;95.44;100.18;672.82;668.45;103.13;104.15;3.04;1.44;2.56
1981;1;9;0;0;-17.5;-16.9;0;0;0;0;95.44;100.18;671.18;666.83;103.13;104.15;3.01;1.42;2.25
1981;1;10;0.17;0.14;-12.5;-11.9;0;0;0;0;95.44;100.18;669.55;665.21;103.3;104.29;2.98;1.41;2.26
1981;1;11;0.16;0.12;-9.5;-8.8;0;0;0;0;95.44;100.18;667.92;663.59;103.46;104.41;2.96;1.4;2.28
1981;1;12;0;0;-11.2;-10.7;0;0;0;0;95.44;100.18;666.3;661.98;103.46;104.41;2.94;1.39;2.24
1981;1;13;3.47;3.88;-10.4;-10;0;0;0;0;95.44;100.18;664.68;660.37;106.93;108.29;2.91;1.38;2.18
1981;1;14;0.6;0.69;-10.1;-9.5;0;0;0;0;95.44;100.18;663.06;658.76;107.53;108.98;2.89;1.37;2.12
1981;1;15;8.9;9.23;-7.7;-7.2;0;0;0;0;95.44;100.18;661.45;657.16;116.43;118.21;2.87;1.36;2.19
1981;1;16;7.88;8.52;-9.8;-9.1;0;0;0;0;95.44;100.18;659.84;655.56;124.31;126.73;2.86;1.35;2.09
1981;1;17;4.88;5.45;-8.5;-7.8;0;0;0;0;95.44;100.18;658.24;653.97;129.19;132.18;2.84;1.34;2.07
1981;1;18;8.05;10.02;-6.8;-6.2;0;0;0;0;95.44;100.18;656.64;652.38;137.25;142.2;2.82;1.33;1.98
1981;1;19;16.43;17.09;-6.5;-5.8;0;0;0;0;95.44;100.18;655.04;650.79;153.68;159.29;2.81;1.33;1.96
1981;1;20;14.42;15.7;-6.9;-6.2;0;0;0;0;95.44;100.18;653.45;649.21;168.11;174.99;2.79;1.32;1.95
1981;1;21;8.87;9.8;-8.3;-7.6;0;0;0;0;95.44;100.18;651.86;647.63;176.97;184.79;2.78;1.31;1.92
1981;1;22;0;0;-10.9;-10.1;0;0;0;0;95.44;100.18;650.27;646.06;176.97;184.79;2.77;1.31;1.86
1981;1;23;0;0;-12.2;-11.8;0;0;0;0;95.44;100.18;648.69;644.49;176.97;184.79;2.76;1.3;1.81
1981;1;24;0;0;-10.2;-10.2;0;0;0;0;95.44;100.18;647.12;642.92;176.97;184.79;2.74;1.29;1.8
1981;1;25;1.17;1.4;-9.5;-9.5;0;0;0;0;95.44;100.18;645.54;641.36;178.14;186.19;2.73;1.29;1.8
