YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;2.54;2.54;1.2;1.2;0.16;0.16;0.03;0.03;48.66;48.66;141.95;141.95;0;0;2;2;2.88
1981;1;2;3.79;3.79;-0.9;-0.9;0;0;0;0;50.48;50.48;141.77;141.77;1.84;1.84;2.25;2.25;2.67
1981;1;3;10.81;10.81;3;3;0.41;0.41;0;0;62.84;62.84;141.59;141.59;0;0;2.28;2.28;7.41
1981;1;4;2.72;2.72;0.9;0.9;0.12;0.12;0.02;0.02;65.33;65.33;141.42;141.42;0;0;2.28;2.28;24.6
1981;1;5;1.45;1.45;-3;-3;0;0;0;0;65.18;65.18;141.24;141.24;1.45;1.45;2.27;2.27;14
1981;1;6;1.34;1.34;-5.4;-5.4;0;0;0;0;65.18;65.18;140.9;140.9;2.79;2.79;2.27;2.27;8.53
1981;1;7;0.52;0.52;-8.8;-8.8;0;0;0;0;65.18;65.18;140.56;140.56;3.31;3.31;2.26;2.26;6.47
1981;1;8;0.15;0.15;-11.3;-11.3;0;0;0;0;65.18;65.18;140.22;140.22;3.46;3.46;2.26;2.26;5.31
1981;1;9;0;0;-14.4;-14.4;0;0;0;0;65.18;65.18;139.88;139.88;3.46;3.46;2.25;2.25;4.77
1981;1;10;0.3;0.3;-8.7;-8.7;0;0;0;0;65.18;65.18;139.54;139.54;3.76;3.76;2.25;2.25;4.77
1981;1;11;0.98;0.98;-4.2;-4.2;0;0;0;0;65.18;65.18;139.2;139.2;4.74;4.74;2.24;2.24;4.02
1981;1;12;0.35;0.35;-5.3;-5.3;0;0;0;0;65.18;65.18;138.87;138.87;5.09;5.09;2.24;2.24;2.67
1981;1;13;0.2;0.2;-4.9;-4.9;0;0;0;0;65.18;65.18;138.53;138.53;5.29;5.29;2.23;2.23;2.26
1981;1;14;0.67;0.67;-6.5;-6.5;0;0;0;0;65.18;65.18;138.19;138.19;5.96;5.96;2.23;2.23;2.26
1981;1;15;8.89;8.89;-3.7;-3.7;0;0;0;0;65.18;65.18;137.86;137.86;14.85;14.85;2.22;2.22;2.11
1981;1;16;0.17;0.17;-5.3;-5.3;0;0;0;0;65.18;65.18;137.53;137.53;15.02;15.02;2.22;2.22;2.11
1981;1;17;4.15;4.15;-6;-6;0;0;0;0;65.18;65.18;137.2;137.2;19.17;19.17;2.21;2.21;2.11
1981;1;18;3.61;3.61;-3.9;-3.9;0;0;0;0;65.18;65.18;136.86;136.86;22.78;22.78;2.21;2.21;2.11
1981;1;19;3.93;3.93;-3.7;-3.7;0;0;0;0;65.18;65.18;136.53;136.53;26.71;26.71;2.2;2.2;2.11
1981;1;20;3.41;3.41;-2.8;-2.8;0;0;0;0;65.18;65.18;136.2;136.2;30.12;30.12;2.19;2.19;1.95
1981;1;21;0.52;0.52;-3.1;-3.1;0;0;0;0;65.18;65.18;135.87;135.87;30.64;30.64;2.19;2.19;1.95
1981;1;22;0.15;0.15;-5.4;-5.4;0;0;0;0;65.18;65.18;135.54;135.54;30.79;30.79;2.18;2.18;1.95
1981;1;23;0.01;0.01;-9.4;-9.4;0;0;0;0;65.18;65.18;135.22;135.22;30.8;30.8;2.18;2.18;1.95
1981;1;24;0.37;0.37;-6;-6;0;0;0;0;65.18;65.18;134.89;134.89;31.17;31.17;2.17;2.17;1.95
1981;1;25;1.22;1.22;-4.2;-4.2;0;0;0;0;65.18;65.18;134.56;134.56;32.39;32.39;2.17;2.17;1.95
1981;1;26;0.63;0.63;-4;-4;0;0;0;0;65.18;65.18;134.24;134.24;33.02;33.02;2.16;2.16;1.95
1981;1;27;0.09;0.09;-6.7;-6.7;0;0;0;0;65.18;65.18;133.91;133.91;33.11;33.11;2.16;2.16;1.95
1981;1;28;0.07;0.07;-10;-10;0;0;0;0;65.18;65.18;133.59;133.59;33.18;33.18;2.15;2.15;1.95
1981;1;29;0;0;-10.2;-10.2;0;0;0;0;65.18;65.18;133.27;133.27;33.18;33.18;2.15;2.15;1.95
1981;1;30;0;0;-7.7;-7.7;0;0;0;0;65.18;65.18;132.95;132.95;33.18;33.18;2.14;2.14;1.95
1981;1;31;0.02;0.02;-3.3;-3.3;0;0;0;0;65.18;65.18;132.62;132.62;33.2;33.2;2.14;2.14;2.11
1981;2;1;0;0;-1.2;-1.2;0;0;0;0;65.18;65.18;132.3;132.3;33.2;33.2;2.13;2.13;2.47
1981;2;2;0;0;-1.5;-1.5;0;0;0;0;65.18;65.18;131.99;131.99;33.2;33.2;2.13;2.13;2.47
