YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;3.8;2.06;-6.7;-4.8;0;0;0;0;72.55;51.69;277.2;2.62;3.8;2.06;36.04;2.12;26.94
1981;1;2;7.64;4.44;-7.4;-5;0;0;0;0;72.41;51.56;276.44;2.55;11.44;6.5;40.35;1.33;26.78
1981;1;3;8.81;6.57;-4.6;-2.9;0;0;0;0;72.4;51.44;275.43;2.45;20.25;13.07;39.91;1.64;28.12
1981;1;4;5.08;3.1;-4.5;-3;0;0;0;0;72.4;51.44;274.4;2.06;25.32;16.17;39.21;1.49;29.61
1981;1;5;10.32;5.78;-9.3;-6.5;0;0;0;0;72.4;51.44;273.38;1.73;35.64;21.95;38.74;1.32;30.76
1981;1;6;5.05;3.27;-10.9;-8.3;0;0;0;0;72.4;51.44;272.37;1.45;40.69;25.22;38.31;1.19;29.42
1981;1;7;4.01;2.19;-14.2;-12.1;0;0;0;0;72.4;51.44;271.37;1.22;44.7;27.41;37.9;1.07;28.43
1981;1;8;0.55;0.32;-17.8;-16.1;0;0;0;0;72.4;51.44;270.37;1.03;45.25;27.73;37.5;0.97;24.14
1981;1;9;0;0;-18.8;-18.2;0;0;0;0;72.4;51.44;269.38;0.86;45.25;27.73;37.12;0.88;21
1981;1;10;0.01;0;-14.1;-14.5;0;0;0;0;72.4;51.44;268.39;0.72;45.26;27.73;36.76;0.8;18.58
1981;1;11;0;0;-11.2;-10.6;0;0;0;0;72.4;51.44;267.41;0.61;45.26;27.73;36.41;0.73;18.8
1981;1;12;0.01;0;-12.3;-11.8;0;0;0;0;72.4;51.44;266.43;0.51;45.27;27.73;36.08;0.66;20.02
1981;1;13;2.17;2.21;-11.8;-10.5;0;0;0;0;72.4;51.44;265.46;0.43;47.44;29.94;35.76;0.6;21.34
1981;1;14;0.23;0.14;-11.2;-9.4;0;0;0;0;72.4;51.44;264.5;0.36;47.66;30.08;35.46;0.55;22.74
1981;1;15;3.86;2.7;-10.9;-9.8;0;0;0;0;72.4;51.44;263.53;0.3;51.52;32.78;35.17;0.51;24.16
1981;1;16;2.47;1.07;-12.6;-10.5;0;0;0;0;72.4;51.44;262.58;0.26;53.99;33.85;34.89;0.47;24.71
1981;1;17;1.67;0.75;-11.2;-10.5;0;0;0;0;72.4;51.44;261.62;0.21;55.66;34.6;34.62;0.43;24.94
1981;1;18;2.01;1.09;-9.1;-6.6;0;0;0;0;72.4;51.44;260.68;0.18;57.67;35.69;34.36;0.4;25.21
1981;1;19;6.45;4.38;-9.2;-7.4;0;0;0;0;72.4;51.44;259.73;0.15;64.12;40.07;34.11;0.37;25.54
1981;1;20;3.07;1.61;-9.9;-8.1;0;0;0;0;72.4;51.44;258.79;0.13;67.18;41.68;33.87;0.34;25.92
1981;1;21;2.85;1.83;-9;-6.1;0;0;0;0;72.4;51.44;257.86;0.11;70.03;43.51;33.64;0.32;26.3
1981;1;22;0.19;0.18;-10.2;-8;0;0;0;0;72.4;51.44;256.93;0.09;70.22;43.69;33.41;0.29;25.78
1981;1;23;0;0;-10.9;-10.2;0;0;0;0;72.4;51.44;256;0.08;70.22;43.69;33.19;0.27;24.25
1981;1;24;0;0;-9.6;-8.7;0;0;0;0;72.4;51.44;255.07;0.06;70.22;43.69;32.97;0.26;23.23
1981;1;25;0.46;0.17;-11;-9.9;0;0;0;0;72.4;51.44;254.16;0.05;70.69;43.86;32.77;0.24;23.45
1981;1;26;5.41;2.99;-8.4;-6.2;0;0;0;0;72.4;51.44;253.24;0.04;76.09;46.85;32.56;0.22;25.26
1981;1;27;0.06;0;-11.8;-10.4;0;0;0;0;72.4;51.44;252.33;0.04;76.16;46.85;32.36;0.21;25.59
1981;1;28;0.03;0;-13.4;-12.4;0;0;0;0;72.4;51.44;251.42;0.03;76.19;46.85;32.17;0.2;25.19
1981;1;29;0;0;-11.9;-11.4;0;0;0;0;72.4;51.44;250.52;0.03;76.19;46.85;31.98;0.18;23.54
1981;1;30;0;0;-8.9;-7.7;0;0;0;0;72.4;51.44;249.62;0.02;76.19;46.85;31.8;0.17;22.84
1981;1;31;0;0;-7.5;-6.1;0;0;0;0;72.4;51.44;248.72;0.02;76.19;46.85;31.61;0.16;23.53
1981;2;1;0;0;-4.8;-3.3;0;0;0;0;72.4;51.44;247.83;0.02;76.19;46.85;31.44;0.15;24.5
1981;2;2;0;0;-4.7;-3;0;0;0;0;72.4;51.44;246.94;0.01;76.19;46.85;31.26;0.14;24.6
1981;2;3;0;0;-4.5;-2.7;0;0;0;0;72.4;51.44;246.06;0.01;76.19;46.85;31.09;0.14;24.83
1981;2;4;5.31;3.97;-4.4;-2.2;0;0;0;0;72.4;51.44;245.18;0.01;81.5;50.82;30.93;0.13;25.46
1981;2;5;2.54;1;-7.3;-4.5;0;0;0;0;72.4;51.44;244.3;0.01;84.04;51.82;30.76;0.12;25.41
1981;2;6;2.72;0.91;-8.3;-6.3;0;0;0;0;72.4;51.44;243.42;0.01;86.76;52.73;30.6;0.11;25.02
1981;2;7;3.3;1.83;-2.4;-1;0;0;0;0;72.4;51.44;242.55;0.01;90.04;54.31;30.44;0.11;25.42
1981;2;8;1;0.47;0.3;2;0.15;0.4;0.18;0.29;73;58.88;241.69;0;90.11;46.11;30.29;0.11;27.8
1981;2;9;0;0;-0.8;-0.4;0;0;0;0;73;58.88;240.82;0;90.12;46.11;30.17;0.12;28.46
1981;2;10;3.92;2.72;-2.1;-0.9;0;0;0;0;73;58.88;239.96;0;93.97;48.43;30.05;0.14;28.11
1981;2;11;0.63;0.93;-6.6;-3.7;0;0;0;0;73;58.88;239.11;0;94.6;49.36;29.91;0.15;27.05
1981;2;12;0.75;0.87;-10.9;-8.1;0;0;0;0;73;58.88;238.26;0;95.35;50.23;29.78;0.16;25.41
1981;2;13;0.27;0.27;-12.8;-10.7;0;0;0;0;73;58.88;237.41;0;95.62;50.5;29.64;0.16;23.1
1981;2;14;0.72;0.89;-12.3;-10.4;0;0;0;0;73;58.88;236.56;0;96.33;51.39;29.5;0.15;24.01
1981;2;15;0;0;-12.2;-11.2;0;0;0;0;73;58.88;235.72;0;96.33;51.39;29.35;0.15;22.98
1981;2;16;0;0.03;-10.4;-9.3;0;0;0;0;73;58.88;234.88;0;96.34;51.42;29.21;0.15;22.9
1981;2;17;0.12;0.5;-11.1;-8.8;0;0;0;0;73;58.88;234.05;0;96.45;51.92;29.07;0.14;22.74
1981;2;18;1.22;1.28;-10.5;-8.4;0;0;0;0;73;58.88;233.22;0;97.67;53.2;28.93;0.14;22.86
1981;2;19;0.78;0.58;-9;-7.6;0;0;0;0;73;58.88;232.39;0;98.45;53.78;28.79;0.13;24.1
1981;2;20;0.19;0.24;-9;-7.4;0;0;0;0;73;58.88;231.56;0;98.64;54.02;28.65;0.12;23.95
1981;2;21;0.21;0.3;-9.3;-7.9;0;0;0;0;73;58.88;230.74;0;98.84;54.32;28.52;0.12;23.6
1981;2;22;0.72;1.43;-7.4;-5.4;0;0;0;0;73;58.88;229.92;0;99.57;55.75;28.38;0.11;23.6
1981;2;23;8.99;9.63;-5.4;-3.4;0;0;0;0;73;58.88;229.11;0;108.56;65.38;28.25;0.11;23.6
1981;2;24;5.72;6.32;-4.2;-2.6;0;0;0;0;73;58.88;228.3;0;114.29;71.7;28.12;0.1;23.6
1981;2;25;1.49;1.46;-4.9;-3.7;0;0;0;0;73;58.88;227.49;0;115.78;73.16;27.99;0.1;23.39
1981;2;26;0;0;-7.6;-6.2;0;0;0;0;73;58.88;226.69;0;115.78;73.16;27.86;0.09;22.44
1981;2;27;0.05;0.15;-10.3;-8.1;0;0;0;0;73;58.88;225.88;0;115.83;73.31;27.73;0.09;21.08
1981;2;28;0.3;0.47;-11.4;-9.5;0;0;0;0;73;58.88;225.09;0;116.12;73.78;27.61;0.08;20.6
1981;3;1;3.06;2.69;-7.9;-6.8;0;0;0;0;73;58.88;224.29;0;119.18;76.47;27.48;0.08;23.43
