YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;9.89;9.11;-4.8;-3.2;0;0;0;0;80;153.02;395.73;505.87;9.89;9.11;10.82;1.06;14.64
1981;1;2;14.94;13.67;-4.7;-3.2;0;0;0;0;79.28;151.77;395.07;505.66;24.83;22.78;10.82;1.06;14.33
1981;1;3;18.04;17.9;0;1.6;0.08;0.29;0;0;87.96;170.44;394.41;505.45;30.76;14.94;11.26;1.06;30.74
1981;1;4;11.78;10.7;-1.7;-0.5;0;0;0;0;88.47;172.07;393.74;505.38;40.75;17.62;11.31;1.06;48.72
1981;1;5;16.65;13.62;-6.7;-5.2;0;0;0;0;88.47;172.07;392.25;502.83;57.41;31.24;10.66;1.06;28.09
1981;1;6;11.27;10.4;-8;-6.5;0;0;0;0;88.47;172.07;390.76;500.29;68.68;41.64;10.24;1.06;22.39
1981;1;7;8.57;7.81;-11.7;-10.3;0;0;0;0;88.47;172.07;389.28;497.77;77.25;49.45;10;1.05;19.16
1981;1;8;2.66;2.66;-14.9;-13.6;0;0;0;0;88.47;172.07;387.81;495.26;79.91;52.11;9.85;1.04;17.05
1981;1;9;0;0;-16.7;-15.5;0;0;0;0;88.47;172.07;386.34;492.76;79.91;52.11;9.75;1.04;15.39
1981;1;10;0;0;-12.7;-11.3;0;0;0;0;88.47;172.07;384.88;490.27;79.92;52.11;9.66;1.03;15.21
1981;1;11;0.01;0.01;-10.9;-9.9;0;0;0;0;88.47;172.07;383.43;487.8;79.92;52.12;9.58;1.03;14.1
1981;1;12;0;0;-12.3;-10.9;0;0;0;0;88.47;172.07;381.99;485.33;79.92;52.12;9.5;1.02;13.75
1981;1;13;2.52;2.29;-10.8;-9.4;0;0;0;0;88.47;172.07;380.55;482.88;82.45;54.41;9.42;1.02;13.84
1981;1;14;0.98;0.79;-10.2;-8.6;0;0;0;0;88.47;172.07;379.11;480.45;83.42;55.2;9.35;1.01;12.98
1981;1;15;10;10.07;-7.2;-5.7;0;0;0;0;88.47;172.07;377.69;478.02;93.42;65.27;9.28;1.01;13.17
1981;1;16;7.08;6.31;-8.7;-6.9;0;0;0;0;88.47;172.07;376.27;475.61;100.5;71.58;9.22;1;12.49
1981;1;17;3.67;3.59;-8.2;-6.1;0;0;0;0;88.47;172.07;374.86;473.21;104.17;75.17;9.15;1;12.54
1981;1;18;9.29;9.17;-5.5;-3.6;0;0;0;0;88.47;172.07;373.45;470.82;113.46;84.34;9.09;0.99;11.97
1981;1;19;14.17;13.3;-5.2;-3.4;0;0;0;0;88.47;172.07;372.05;468.44;127.64;97.64;9.03;0.99;11.9
1981;1;20;11.52;11.25;-6.1;-4.3;0;0;0;0;88.47;172.07;370.66;466.08;139.16;108.89;8.98;0.98;12.23
1981;1;21;11.41;11.05;-6.8;-5.6;0;0;0;0;88.47;172.07;369.27;463.73;150.57;119.94;8.92;0.98;11.13
1981;1;22;1.57;1.45;-7.8;-6.7;0;0;0;0;88.47;172.07;367.89;461.39;152.14;121.39;8.87;0.97;10.22
1981;1;23;0;0;-8.9;-8.9;0;0;0;0;88.47;172.07;366.51;459.06;152.14;121.39;8.81;0.97;10.6
1981;1;24;0;0;-9.4;-9.6;0;0;0;0;88.47;172.07;365.14;456.74;152.14;121.39;8.76;0.96;9.73
1981;1;25;1.9;2;-9.3;-8.9;0;0;0;0;88.47;172.07;363.78;454.44;154.04;123.39;8.71;0.96;10.1
1981;1;26;12.13;10.99;-6.4;-4.7;0;0;0;0;88.47;172.07;362.43;452.15;166.17;134.38;8.66;0.95;10.59
1981;1;27;0.09;0.06;-10.3;-9.6;0;0;0;0;88.47;172.07;361.07;449.86;166.26;134.44;8.62;0.95;9.65
1981;1;28;0.05;0.04;-11.9;-11.4;0;0;0;0;88.47;172.07;359.73;447.59;166.31;134.48;8.57;0.94;9.71
