YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;5.86;0.59;-1.3;3.8;0.08;0.41;0.02;0.09;70.36;59.7;327.89;219.02;3.24;0;1582.13;16.39;-999
1981;1;2;11.81;1.55;-2.1;1.6;0.02;0.15;0;0.03;74.36;60.94;327.18;218.77;10.47;0;1507.53;14.91;-999
1981;1;3;14.76;6.45;1.8;5.5;0.35;0.62;0.02;0.09;87.17;67.03;326.44;218.52;10.33;0;1505.45;10.62;-999
1981;1;4;9.35;0.55;-0.1;3.9;0.11;0.42;0.04;0.11;90.05;67.17;325.72;218.29;15.15;0;1576.65;7.75;-999
1981;1;5;8.32;2.21;-4.4;-0.5;0;0;0;0;89.98;68.22;324.9;218.07;23.34;0.85;1625.32;11.84;-999
1981;1;6;9.46;1.08;-5.5;-1.7;0;0;0;0;89.86;67.92;323.93;217.86;32.8;1.93;1632.38;12.6;-999
1981;1;7;4.64;1.79;-9.1;-5.2;0;0;0;0;89.86;67.92;322.8;217.34;37.45;3.72;1628.75;13.73;-999
1981;1;8;1.26;0.28;-12.7;-7.7;0;0;0;0;89.86;67.92;321.68;216.81;38.71;4;1599.13;15.15;-999
1981;1;9;0.2;0;-14.2;-9.5;0;0;0;0;89.86;67.92;320.57;216.29;38.92;4;1556.33;14.69;-999
1981;1;10;1.17;0;-7.9;-7;0;0;0;0;89.86;67.92;319.46;215.78;40.09;4;1523.32;14.22;-999
1981;1;11;0.3;0.71;-6.1;-4.4;0;0;0;0;89.86;67.92;318.37;215.26;40.38;4.71;1498.11;13.88;-999
1981;1;12;0.17;0.06;-7.5;-3.7;0;0;0;0;89.86;67.92;317.28;214.75;40.55;4.77;1476.28;13.69;-999
1981;1;13;1.92;0.17;-6.5;-3.9;0;0;0;0;89.86;67.92;316.19;214.23;42.47;4.94;1455.02;13.65;-999
1981;1;14;1.02;0.03;-6.6;-3.3;0;0;0;0;89.86;67.92;315.12;213.72;43.5;4.97;1434.58;13.55;-999
1981;1;15;10.56;1.81;-3.4;-0.8;0;0;0;0;91.19;68.31;314.05;213.21;52.47;6.39;1415.08;13.43;-999
1981;1;16;3.87;0.24;-5.9;-2.2;0;0;0;0;91.19;68.31;312.99;212.7;56.34;6.63;1397.75;13.19;-999
1981;1;17;6.98;1.5;-3.1;-1.1;0.03;0;0.01;0;93.79;68.34;311.93;212.19;60.07;8.1;1383.98;12.91;-999
1981;1;18;6.25;3.32;-2.5;0.1;0.01;0.01;0;0;95.22;71.57;310.88;211.68;64.54;8.19;1375.73;12.27;-999
1981;1;19;10.51;4.11;-2.7;-0.2;0;0;0;0;97.27;75.04;309.84;211.17;72.48;8.82;1383.86;11.31;-999
1981;1;20;5.89;1.75;-3.7;-0.8;0;0;0;0;97.38;75.49;308.8;210.66;78.26;10.12;1399.58;11.12;-999
1981;1;21;3.41;0.75;-5.5;-1.5;0;0;0;0;97.38;75.49;307.77;210.16;81.67;10.87;1411.19;11.69;-999
1981;1;22;0.2;0.16;-8.1;-3.6;0;0;0;0;97.38;75.49;306.74;209.66;81.87;11.03;1408.95;12.52;-999
1981;1;23;0;0;-9.2;-7;0;0;0;0;97.38;75.49;305.72;209.16;81.87;11.03;1393.78;12.79;-999
1981;1;24;0;0.08;-8.6;-5.6;0;0;0;0;97.38;75.49;304.71;208.66;81.87;11.11;1378.51;12.88;-999
1981;1;25;1.88;0.4;-6.1;-2.3;0;0;0;0;97.38;75.49;303.7;208.16;83.75;11.51;1362.33;12.76;-999
1981;1;26;5.43;1.83;-3.7;-1.3;0;0;0;0;97.43;75.49;302.7;207.66;89.13;13.34;1346.56;12.72;-999
1981;1;27;0.04;0;-7.5;-6.4;0;0;0;0;97.43;75.49;301.7;207.16;89.17;13.34;1330.7;12.68;-999
1981;1;28;0.02;0.04;-8.8;-9.4;0;0;0;0;97.43;75.49;300.71;206.66;89.19;13.38;1314.87;12.63;-999
1981;1;29;0;0;-9.6;-9.4;0;0;0;0;97.43;75.49;299.72;206.17;89.19;13.38;1299.2;12.56;-999
1981;1;30;0;0;-8.9;-6.8;0;0;0;0;97.43;75.49;298.74;205.67;89.19;13.38;1283.86;12.48;-999
1981;1;31;0;0.03;-6.3;-1.8;0;0;0;0;97.43;75.49;297.76;205.18;89.2;13.41;1269.37;12.46;-999
1981;2;1;0;0;-4.3;1.4;0;0.14;0;0.04;97.61;79.61;296.79;204.69;89.01;9.25;1255.53;12.4;-999
1981;2;2;0;0;-3.2;2.9;0.01;0.32;0;0.05;97.88;85.61;295.82;204.2;88.72;3.19;1241.78;12.41;-999
1981;2;3;4.31;0.49;-1;4.7;0.1;0.55;0.03;0;102.09;88.91;294.87;204.08;87.82;0;1231.15;13.1;-999
1981;2;4;10.63;2.21;-0.3;3.6;0.12;0.4;0.02;0.06;109.14;90.65;293.94;204;88.29;0;1241.5;9.6;-999
1981;2;5;5.23;0.4;-3.3;1.1;0;0.1;0;0.04;109.32;90.61;293;203.91;93.21;0;1365.93;5.48;-999
1981;2;6;6.15;0.76;-2.2;0.5;0.02;0.04;0;0.01;110.55;90.95;292.12;203.83;97.56;0;1450.9;10.73;-999
1981;2;7;5.74;2.45;2.2;5.3;0.39;0.63;0.14;0.19;116.98;92.79;291.81;203.76;90.82;0;1660.2;-9.08;-999
1981;2;8;0.78;0.14;3.3;7.2;0.51;0.9;0.25;0.32;120.28;92.19;291.69;203.69;83.04;0;2250.37;-31.38;-999
1981;2;9;0.01;0;1.5;5.4;0.25;0.64;0.14;0.23;121.06;91.54;291.66;203.61;80.22;0;2720.03;12.44;-999
1981;2;10;3.14;1.13;0.3;3.9;0.16;0.44;0.08;0.15;121.92;92.11;291.62;203.54;80.24;0;2556.29;28.27;-999
1981;2;11;1;0;-3.1;1.6;0;0.16;0;0.06;121.72;91.64;291.25;203.46;81.17;0;2365.6;25.04;-999
1981;2;12;1.07;0.28;-6;-1.8;0;0;0;0;121.66;91.22;290.37;203.39;82.24;0.28;2148.39;25.89;-999
1981;2;13;0.38;0.92;-6.6;-1.2;0;0;0;0;121.65;90.87;289.42;203.31;82.62;1.15;1966.8;21.96;-999
1981;2;14;0.5;0.76;-6.3;-1.8;0;0;0;0;121.65;90.87;288.47;202.83;83.13;1.9;1848.58;19.46;-999
1981;2;15;0.01;0.03;-5.5;-1.7;0;0;0;0;121.65;90.87;287.53;202.34;83.14;1.94;1758.46;18.17;-999
1981;2;16;0.07;0.64;-4.9;-0.3;0;0;0;0;121.66;91.25;286.59;201.86;83.19;2.19;1689.61;16.66;-999
1981;2;17;0.23;0.38;-4.6;-1.5;0;0;0;0;121.66;91.25;285.66;201.37;83.42;2.57;1633.95;16;-999
1981;2;18;1.91;2.45;-5.2;-3.2;0;0;0;0;121.67;91.25;284.74;200.89;85.32;5.02;1584.62;15.68;-999
1981;2;19;0.64;0.48;-5.6;-3;0;0;0;0;121.67;91.25;283.82;200.41;85.96;5.5;1538.77;15.46;-999
1981;2;20;0.43;0.37;-5.4;-2.5;0;0;0;0;121.67;91.25;282.91;199.93;86.39;5.87;1495.93;15.14;-999
1981;2;21;0.6;0.17;-4.8;-1.4;0;0;0;0;121.67;91.25;282;199.45;86.99;6.04;1456.4;14.83;-999
1981;2;22;0.86;5.69;-4.5;-1.1;0;0;0;0;121.69;91.79;281.1;198.97;87.82;11.19;1420.26;14.53;-999
1981;2;23;1.3;3.13;-3.9;0.5;0;0.04;0;0.01;121.84;96.12;280.2;198.5;88.94;9.97;1387.36;14.27;-999
1981;2;24;1.63;0.21;-2.6;1.2;0;0.12;0;0.03;122.03;100.15;279.3;198.02;90.17;6.12;1362.1;13.72;-999
1981;2;25;0.28;0;-2.3;0.8;0.01;0.07;0;0.01;122.15;101.54;278.42;198;90.13;4.27;1349.52;12.55;-999
1981;2;26;0;0;-3;-1.7;0.01;0;0;0;122.35;101.54;277.54;197.53;89.84;4.27;1328.69;13.74;-999
1981;2;27;0.01;0;-4.3;-2.4;0;0;0;0;122.35;101.54;276.66;197.06;89.85;4.27;1301.63;13.45;-999
1981;2;28;0.28;0.01;-3.7;-1.1;0;0;0;0;122.36;101.54;275.78;196.58;90.1;4.28;1279.39;13.25;-999
1981;3;1;2.57;0.83;-1.4;0.4;0.08;0.04;0.02;0.01;123.86;102.84;275.04;196.11;90.35;3.8;1258.55;12.92;-999
