YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;3.34;3.48;0.1;0.2;0.01;0.02;0.01;0.03;62.01;4.92;279.59;0.29;0.92;0.99;3.33;0.03;-999
1981;1;2;12.22;12.1;-0.3;-0.2;0;0;0;0;65.24;7.34;279.14;0.29;9.26;8.19;3.35;0.03;-999
1981;1;3;16.8;16.51;2.9;2.9;0.39;0.38;0;0.01;90.53;30.02;278.69;0.28;0.53;1.82;3.34;0.03;-999
1981;1;4;9.46;8.42;0.8;0.8;0.1;0.1;0.02;0.09;99.69;37.24;278.25;0.28;0.52;2.8;3.34;0.03;-999
1981;1;5;2.43;2.6;-2.8;-2.7;0;0;0;0;99.38;37.15;277.81;0.28;2.94;5.4;3.33;0.03;-999
1981;1;6;7.99;8.15;-2.9;-2.9;0;0;0;0;99.08;37.06;277.39;0.29;10.94;13.55;3.33;0.03;-999
1981;1;7;0.56;0.58;-6.5;-6.5;0;0;0;0;99.08;37.06;276.71;0.26;11.5;14.13;3.32;0.03;-999
1981;1;8;0.13;0.13;-9.4;-9.3;0;0;0;0;99.08;37.06;276.04;0.23;11.63;14.26;3.31;0.02;-999
1981;1;9;0.56;0.56;-11;-10.9;0;0;0;0;99.08;37.06;275.38;0.21;12.19;14.82;3.3;0.02;-999
1981;1;10;2.83;2.91;-3.9;-3.7;0;0;0;0;99.08;37.06;274.71;0.18;15.02;17.73;3.29;0.02;-999
1981;1;11;0.3;0.37;-2.6;-2.6;0;0;0;0;99.08;37.06;274.04;0.16;15.32;18.1;3.28;0.02;-999
1981;1;12;0.46;0.44;-4.1;-4.1;0;0;0;0;99.08;37.06;273.38;0.15;15.78;18.54;3.27;0.02;-999
1981;1;13;2.16;2.18;-3.6;-3.5;0;0;0;0;99.08;37.06;272.72;0.13;17.93;20.72;3.26;0.01;-999
1981;1;14;1.84;1.83;-5.2;-5;0;0;0;0;99.08;37.06;272.06;0.12;19.78;22.55;3.25;0.01;-999
1981;1;15;13.07;12.86;-0.8;-0.8;0;0;0;0;99.42;38.89;271.4;0.11;32.47;33.4;3.24;0.01;-999
1981;1;16;1.6;1.57;-4;-3.9;0;0;0;0;99.42;38.89;270.75;0.1;34.07;34.97;3.23;0.01;-999
1981;1;17;7.98;7.85;0.8;0.9;0.1;0.12;0.04;0.11;107.6;44.83;270.1;0.08;33.77;36.46;3.22;0.01;-999
1981;1;18;3.57;3.48;-0.7;-0.6;0;0;0;0;107.86;45.58;269.44;0.08;37.04;38.98;3.21;0.01;-999
1981;1;19;7.13;6.96;0;0;0;0;0;0;110.19;47.72;268.8;0.07;41.77;43.45;3.2;0.01;-999
1981;1;20;1.79;1.68;-2.4;-2.4;0;0;0;0;110.19;47.72;268.15;0.06;43.56;45.13;3.2;0.01;-999
1981;1;21;0.12;0.12;-6.9;-6.9;0;0;0;0;110.19;47.72;267.5;0.06;43.68;45.25;3.19;0.01;-999
1981;1;22;0;0;-11.7;-11.6;0;0;0;0;110.19;47.72;266.86;0.05;43.68;45.25;3.18;0.01;-999
1981;1;23;0;0;-11.1;-10.8;0;0;0;0;110.19;47.72;266.21;0.04;43.68;45.25;3.17;0;-999
1981;1;24;0;0;-9.8;-9.8;0;0;0;0;110.19;47.72;265.57;0.04;43.68;45.25;3.16;0;-999
1981;1;25;1.15;1.24;-5.9;-5.8;0;0;0;0;110.19;47.72;264.93;0.04;44.84;46.49;3.15;0;-999
1981;1;26;0.74;0.77;-1.7;-1.6;0;0;0;0;110.19;47.72;264.3;0.03;45.57;47.26;3.15;0;-999
1981;1;27;0;0;-6.9;-6.9;0;0;0;0;110.19;47.72;263.66;0.03;45.57;47.26;3.14;0;-999
1981;1;28;0;0;-8.7;-8.6;0;0;0;0;110.19;47.72;263.02;0.03;45.57;47.26;3.13;0;-999
1981;1;29;0;0;-8.3;-8.3;0;0;0;0;110.19;47.72;262.39;0.02;45.57;47.26;3.12;0;-999
1981;1;30;0;0;-9.2;-9.2;0;0;0;0;110.19;47.72;261.76;0.02;45.57;47.26;3.12;0;-999
1981;1;31;0;0;-5.5;-5;0;0;0;0;110.19;47.72;261.13;0.02;45.57;47.26;3.11;0;-999
1981;2;1;0;0;-2.7;-2.7;0;0;0;0;110.19;47.72;260.5;0.02;45.57;47.26;3.1;0;-999
1981;2;2;0;0;-2.5;-2.5;0;0;0;0;110.19;47.72;259.87;0.02;45.57;47.26;3.09;0;-999
1981;2;3;6.89;6.89;-0.6;-0.3;0;0;0;0;110.32;48.38;259.25;0.02;52.31;53.34;3.08;0;-999
1981;2;4;10.99;10.96;1;1;0.14;0.14;0.04;0.08;122.6;56.11;258.62;0.02;50.66;54.79;3.11;0.03;-999
1981;2;5;2.4;2.18;-2.5;-2.4;0;0;0;0;122.6;56.11;258;0.01;53.07;56.97;3.16;0.1;-999
1981;2;6;5.89;5.74;0.3;0.4;0.04;0.05;0.02;0.06;125;57.6;257.38;0.01;56.36;60.2;3.19;0.13;-999
1981;2;7;3.83;3.69;3.2;3.3;0.45;0.46;0.28;0.64;142.05;65.99;257.35;0.83;41.36;48.73;4.25;1.19;-999
1981;2;8;0.27;0.24;3.5;3.6;0.5;0.51;0.38;0.88;156.51;67.57;257.12;1.7;24.82;38.03;6.01;2.96;-999
