YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;4.3;4.3;0.6;0.6;0.07;0.07;0.04;0.04;128.75;128.75;294.95;294.95;0;0;1.37;1.37;1
1981;1;2;12.66;12.66;0;0;0;0;0;0;140.95;140.95;294.5;294.5;0.13;0.13;1.39;1.39;0.99
1981;1;3;14.56;14.56;3.2;3.2;0.42;0.42;0;0;155.24;155.24;294.05;294.05;0;0;1.4;1.4;1.81
1981;1;4;7.41;7.41;1.1;1.1;0.14;0.14;0.03;0.03;162.21;162.21;293.61;293.61;0;0;1.4;1.4;2.37
1981;1;5;2.93;2.93;-2.5;-2.5;0;0;0;0;161.82;161.82;293.19;293.19;2.93;2.93;1.41;1.41;1.64
1981;1;6;8.59;8.59;-2.8;-2.8;0;0;0;0;161.43;161.43;292.78;292.78;11.52;11.52;1.41;1.41;1.5
1981;1;7;0.51;0.51;-6.7;-6.7;0;0;0;0;161.43;161.43;292.07;292.07;12.03;12.03;1.41;1.41;1.43
1981;1;8;0.15;0.15;-9.2;-9.2;0;0;0;0;161.43;161.43;291.35;291.35;12.18;12.18;1.42;1.42;1.34
1981;1;9;0.31;0.31;-11.4;-11.4;0;0;0;0;161.43;161.43;290.64;290.64;12.49;12.49;1.41;1.41;1.28
1981;1;10;3.45;3.45;-3.5;-3.5;0;0;0;0;161.43;161.43;289.93;289.93;15.94;15.94;1.39;1.39;1.24
1981;1;11;0.44;0.44;-2.8;-2.8;0;0;0;0;161.43;161.43;289.22;289.22;16.38;16.38;1.38;1.38;1.2
1981;1;12;0.41;0.41;-4.3;-4.3;0;0;0;0;161.43;161.43;288.51;288.51;16.79;16.79;1.37;1.37;1.15
1981;1;13;2.12;2.12;-3.5;-3.5;0;0;0;0;161.43;161.43;287.81;287.81;18.91;18.91;1.36;1.36;1.11
1981;1;14;1.43;1.43;-4.7;-4.7;0;0;0;0;161.43;161.43;287.11;287.11;20.34;20.34;1.35;1.35;0.73
1981;1;15;11.71;11.71;-0.6;-0.6;0;0;0;0;167.67;167.67;286.4;286.4;25.77;25.77;1.34;1.34;0.69
1981;1;16;1.43;1.43;-3.8;-3.8;0;0;0;0;167.67;167.67;285.7;285.7;27.2;27.2;1.33;1.33;0.71
1981;1;17;7.67;7.67;0.9;0.9;0.11;0.11;0.04;0.04;178.91;178.91;285.01;285.01;23.5;23.5;1.33;1.33;0.72
1981;1;18;3.49;3.49;-0.4;-0.4;0;0;0;0;181.54;181.54;284.31;284.31;24.33;24.33;1.33;1.33;0.76
1981;1;19;6.9;6.9;0.1;0.1;0.01;0.01;0;0;188.46;188.46;283.62;283.62;24.22;24.22;1.33;1.33;0.84
1981;1;20;1.45;1.45;-2.5;-2.5;0;0;0;0;188.46;188.46;282.92;282.92;25.67;25.67;1.32;1.32;1.05
1981;1;21;0.19;0.19;-6.1;-6.1;0;0;0;0;188.46;188.46;282.23;282.23;25.86;25.86;1.32;1.32;0.96
1981;1;22;0;0;-9.9;-9.9;0;0;0;0;188.46;188.46;281.54;281.54;25.86;25.86;1.31;1.31;0.9
1981;1;23;0;0;-10.6;-10.6;0;0;0;0;188.46;188.46;280.85;280.85;25.86;25.86;1.3;1.3;0.86
1981;1;24;0;0;-9.9;-9.9;0;0;0;0;188.46;188.46;280.17;280.17;25.86;25.86;1.29;1.29;0.81
1981;1;25;1.48;1.48;-5.8;-5.8;0;0;0;0;188.46;188.46;279.48;279.48;27.34;27.34;1.29;1.29;0.77
1981;1;26;0.83;0.83;-1.5;-1.5;0;0;0;0;188.46;188.46;278.8;278.8;28.17;28.17;1.28;1.28;0.78
