YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;0.86;0.6;-6.9;-4.6;0;0;0;0;62.47;24.38;172.92;113.33;0.86;0.6;27.67;7.37;15.04
1981;1;2;2.55;1.73;-7.6;-6.1;0;0;0;0;62.38;24.32;172.61;113.86;3.4;2.33;25.47;8.03;14.91
1981;1;3;2.22;1.79;-6.2;-5.4;0;0;0;0;62.38;24.32;170.99;112.32;5.62;4.12;24.62;7.86;14.77
1981;1;4;3.46;3.37;-5.6;-4.3;0;0;0;0;62.38;24.32;169.39;110.8;9.08;7.49;24.14;7.86;14.7
1981;1;5;4.23;2.89;-9.1;-7.4;0;0;0;0;62.38;24.32;167.81;109.3;13.31;10.38;23.61;7.78;14.68
1981;1;6;2.17;0.98;-11.7;-9.9;0;0;0;0;62.38;24.32;166.24;107.82;15.48;11.36;23.13;7.63;14.49
1981;1;7;1.41;0.78;-14;-12.7;0;0;0;0;62.38;24.32;164.69;106.36;16.89;12.14;22.65;7.46;14.29
1981;1;8;0.35;0.1;-17.2;-15.6;0;0;0;0;62.38;24.32;163.16;104.92;17.23;12.24;22.15;7.27;14.14
1981;1;9;0;0;-17.3;-16.1;0;0;0;0;62.38;24.32;161.64;103.5;17.23;12.24;21.67;7.08;14.03
1981;1;10;0.02;0;-14.1;-12.8;0;0;0;0;62.38;24.32;160.13;102.1;17.25;12.24;21.19;6.89;14
1981;1;11;0;0;-11.2;-10;0;0;0;0;62.38;24.32;158.65;100.71;17.25;12.24;20.73;6.7;13.88
1981;1;12;0.2;0.23;-10.9;-10;0;0;0;0;62.38;24.32;157.17;99.35;17.45;12.47;20.29;6.51;13.57
1981;1;13;2.59;3.33;-10;-8.3;0;0;0;0;62.38;24.32;155.71;98.01;20.05;15.8;19.86;6.33;13.3
1981;1;14;0.07;0.07;-9.9;-8.2;0;0;0;0;62.38;24.32;154.27;96.68;20.12;15.87;19.45;6.16;13.3
1981;1;15;1.55;1.54;-9.8;-8.9;0;0;0;0;62.38;24.32;152.84;95.37;21.67;17.41;19.05;5.99;13.3
1981;1;16;0.65;0.29;-11.9;-9.7;0;0;0;0;62.38;24.32;151.43;94.08;22.32;17.7;18.67;5.83;13.3
1981;1;17;0.32;0.15;-10.9;-9.1;0;0;0;0;62.38;24.32;150.03;92.8;22.64;17.85;18.31;5.67;13.27
1981;1;18;0.38;0.26;-9.8;-7.8;0;0;0;0;62.38;24.32;148.64;91.55;23.02;18.11;17.96;5.52;13.12
1981;1;19;2.02;1.05;-9.9;-7.6;0;0;0;0;62.38;24.32;147.26;90.31;25.04;19.16;17.62;5.38;12.83
1981;1;20;1.2;0.47;-10.3;-8;0;0;0;0;62.38;24.32;145.91;89.09;26.24;19.63;17.29;5.23;12.7
1981;1;21;0.51;0.23;-11.8;-9.7;0;0;0;0;62.38;24.32;144.56;87.88;26.75;19.86;16.98;5.1;12.65
1981;1;22;0;0;-13.2;-10.9;0;0;0;0;62.38;24.32;143.23;86.69;26.75;19.86;16.68;4.97;12.52
1981;1;23;0;0;-11.5;-9.4;0;0;0;0;62.38;24.32;141.91;85.52;26.75;19.86;16.39;4.84;12.38
1981;1;24;0;0;-10;-8.1;0;0;0;0;62.38;24.32;140.6;84.36;26.75;19.86;16.11;4.72;12.3
1981;1;25;0;0;-9.5;-7.7;0;0;0;0;62.38;24.32;139.31;83.22;26.75;19.86;15.84;4.61;12.21
1981;1;26;1.19;0.98;-8.1;-6;0;0;0;0;62.38;24.32;138.03;82.09;27.94;20.84;15.58;4.5;12.1
