YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;0.41;0.41;4;4;0.42;0.42;0.08;0.08;7.08;7.08;58.06;58.06;0;0;0.13;0.13;-999
1981;1;2;0.75;0.75;1.5;1.5;0.14;0.14;0.02;0.02;7.79;7.79;57.94;57.94;0;0;0.13;0.13;-999
1981;1;3;4.19;4.19;5.8;5.8;0.65;0.65;0.1;0.1;11.86;11.86;57.83;57.83;0;0;0.13;0.13;-999
1981;1;4;0.43;0.43;3.8;3.8;0.4;0.4;0.12;0.12;12.13;12.13;57.71;57.71;0;0;0.13;0.13;-999
1981;1;5;2.04;2.04;-0.8;-0.8;0;0;0;0;12.11;12.11;57.59;57.59;2.04;2.04;0.13;0.13;-999
1981;1;6;0.78;0.78;-2.3;-2.3;0;0;0;0;12.07;12.07;57.48;57.48;2.82;2.82;0.13;0.13;-999
1981;1;7;0.74;0.74;-5.3;-5.3;0;0;0;0;12.07;12.07;57.34;57.34;3.56;3.56;0.13;0.13;-999
1981;1;8;0.06;0.06;-7.6;-7.6;0;0;0;0;12.07;12.07;57.21;57.21;3.62;3.62;0.13;0.13;-999
1981;1;9;0;0;-8;-8;0;0;0;0;12.07;12.07;57.07;57.07;3.62;3.62;0.13;0.13;-999
1981;1;10;0;0;-5.7;-5.7;0;0;0;0;12.07;12.07;56.93;56.93;3.62;3.62;0.13;0.13;-999
1981;1;11;0.65;0.65;-3.5;-3.5;0;0;0;0;12.07;12.07;56.8;56.8;4.27;4.27;0.13;0.13;-999
1981;1;12;0.06;0.06;-2.8;-2.8;0;0;0;0;12.07;12.07;56.66;56.66;4.33;4.33;0.13;0.13;-999
1981;1;13;0.07;0.07;-3.2;-3.2;0;0;0;0;12.07;12.07;56.52;56.52;4.4;4.4;0.13;0.13;-999
1981;1;14;0.02;0.02;-3.2;-3.2;0;0;0;0;12.07;12.07;56.39;56.39;4.42;4.42;0.13;0.13;-999
1981;1;15;2.7;2.7;-1.1;-1.1;0;0;0;0;12.07;12.07;56.25;56.25;7.12;7.12;0.13;0.13;-999
1981;1;16;0.11;0.11;-2.4;-2.4;0;0;0;0;12.07;12.07;56.12;56.12;7.23;7.23;0.13;0.13;-999
1981;1;17;1.85;1.85;-1.2;-1.2;0;0;0;0;12.07;12.07;55.98;55.98;9.08;9.08;0.13;0.13;-999
1981;1;18;2.86;2.86;-1.1;-1.1;0;0;0;0;12.07;12.07;55.85;55.85;11.94;11.94;0.13;0.13;-999
1981;1;19;2.83;2.83;-0.8;-0.8;0;0;0;0;12.07;12.07;55.71;55.71;14.77;14.77;0.13;0.13;-999
1981;1;20;2.29;2.29;-0.9;-0.9;0;0;0;0;12.07;12.07;55.58;55.58;17.06;17.06;0.13;0.13;-999
