YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;3.77;3.77;-8.6;-8.6;0;0;0;0;117.24;117.24;600.45;600.45;3.77;3.77;0.52;0.52;-999
1981;1;2;10.04;10.04;-11.2;-11.2;0;0;0;0;117.24;117.24;598.99;598.99;13.81;13.81;0.54;0.54;-999
1981;1;3;8.16;8.16;-6.9;-6.9;0;0;0;0;117.24;117.24;597.54;597.54;21.97;21.97;0.53;0.53;-999
1981;1;4;13.36;13.36;-6.7;-6.7;0;0;0;0;117.24;117.24;596.09;596.09;35.33;35.33;0.52;0.52;-999
1981;1;5;14.01;14.01;-12.9;-12.9;0;0;0;0;117.24;117.24;594.64;594.64;49.34;49.34;0.52;0.52;-999
1981;1;6;12.8;12.8;-14.1;-14.1;0;0;0;0;117.24;117.24;593.19;593.19;62.14;62.14;0.51;0.51;-999
1981;1;7;7.28;7.28;-16.6;-16.6;0;0;0;0;117.24;117.24;591.75;591.75;69.42;69.42;0.5;0.5;-999
1981;1;8;2.46;2.46;-19.8;-19.8;0;0;0;0;117.24;117.24;590.31;590.31;71.88;71.88;0.49;0.49;-999
1981;1;9;0;0;-16.9;-16.9;0;0;0;0;117.24;117.24;588.88;588.88;71.88;71.88;0.48;0.48;-999
1981;1;10;0.32;0.32;-13.2;-13.2;0;0;0;0;117.24;117.24;587.44;587.44;72.2;72.2;0.48;0.48;-999
1981;1;11;0.1;0.1;-11.7;-11.7;0;0;0;0;117.24;117.24;586.01;586.01;72.3;72.3;0.47;0.47;-999
1981;1;12;0.05;0.05;-12.4;-12.4;0;0;0;0;117.24;117.24;584.59;584.59;72.35;72.35;0.46;0.46;-999
1981;1;13;2.04;2.04;-12.5;-12.5;0;0;0;0;117.24;117.24;583.17;583.17;74.39;74.39;0.46;0.46;-999
1981;1;14;0.35;0.35;-14.5;-14.5;0;0;0;0;117.24;117.24;581.75;581.75;74.74;74.74;0.45;0.45;-999
1981;1;15;8.21;8.21;-11.9;-11.9;0;0;0;0;117.24;117.24;580.34;580.34;82.95;82.95;0.45;0.45;-999
1981;1;16;4.89;4.89;-15.2;-15.2;0;0;0;0;117.24;117.24;578.93;578.93;87.84;87.84;0.44;0.44;-999
1981;1;17;3.29;3.29;-11.5;-11.5;0;0;0;0;117.24;117.24;577.52;577.52;91.13;91.13;0.43;0.43;-999
1981;1;18;3.94;3.94;-11;-11;0;0;0;0;117.24;117.24;576.11;576.11;95.07;95.07;0.43;0.43;-999
1981;1;19;10.78;10.78;-11.2;-11.2;0;0;0;0;117.24;117.24;574.71;574.71;105.85;105.85;0.43;0.43;-999
1981;1;20;10.5;10.5;-11.6;-11.6;0;0;0;0;117.24;117.24;573.32;573.32;116.35;116.35;0.42;0.42;-999
1981;1;21;3.05;3.05;-14.1;-14.1;0;0;0;0;117.24;117.24;571.92;571.92;119.4;119.4;0.42;0.42;-999
1981;1;22;0;0;-14.9;-14.9;0;0;0;0;117.24;117.24;570.53;570.53;119.4;119.4;0.41;0.41;-999
1981;1;23;0;0;-11.8;-11.8;0;0;0;0;117.24;117.24;569.14;569.14;119.4;119.4;0.41;0.41;-999
1981;1;24;0;0;-9.1;-9.1;0;0;0;0;117.24;117.24;567.76;567.76;119.4;119.4;0.4;0.4;-999
1981;1;25;0.25;0.25;-9.9;-9.9;0;0;0;0;117.24;117.24;566.38;566.38;119.65;119.65;0.4;0.4;-999
