YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;5.82;5.82;-9.2;-9.2;0;0;0;0;81.94;81.94;102.01;102.01;5.82;5.82;0.48;0.48;0.03
1981;1;2;12.79;12.79;-12.7;-12.7;0;0;0;0;81.94;81.94;100.39;100.39;18.61;18.61;0.47;0.47;0.03
1981;1;3;8.34;8.34;-7.3;-7.3;0;0;0;0;81.94;81.94;98.78;98.78;26.95;26.95;0.44;0.44;0.03
1981;1;4;11.09;11.09;-7.7;-7.7;0;0;0;0;81.94;81.94;97.21;97.21;38.04;38.04;0.41;0.41;0.03
1981;1;5;15.98;15.98;-14.3;-14.3;0;0;0;0;81.94;81.94;95.66;95.66;54.02;54.02;0.38;0.38;0.03
1981;1;6;14.44;14.44;-15.1;-15.1;0;0;0;0;81.94;81.94;94.14;94.14;68.46;68.46;0.36;0.36;0.03
1981;1;7;9.95;9.95;-17.9;-17.9;0;0;0;0;81.94;81.94;92.64;92.64;78.41;78.41;0.34;0.34;0.03
1981;1;8;4.22;4.22;-21.3;-21.3;0;0;0;0;81.94;81.94;91.16;91.16;82.63;82.63;0.32;0.32;0.03
1981;1;9;0;0;-19.1;-19.1;0;0;0;0;81.94;81.94;89.71;89.71;82.63;82.63;0.3;0.3;0.03
1981;1;10;0.16;0.16;-14.3;-14.3;0;0;0;0;81.94;81.94;88.28;88.28;82.79;82.79;0.29;0.29;0.02
1981;1;11;0.06;0.06;-12.6;-12.6;0;0;0;0;81.94;81.94;86.87;86.87;82.85;82.85;0.28;0.28;0.02
1981;1;12;0;0;-13.4;-13.4;0;0;0;0;81.94;81.94;85.49;85.49;82.85;82.85;0.27;0.27;0.02
1981;1;13;2.55;2.55;-14.2;-14.2;0;0;0;0;81.94;81.94;84.12;84.12;85.4;85.4;0.26;0.26;0.02
1981;1;14;0.5;0.5;-15.2;-15.2;0;0;0;0;81.94;81.94;82.78;82.78;85.9;85.9;0.25;0.25;0.02
1981;1;15;7.16;7.16;-13.4;-13.4;0;0;0;0;81.94;81.94;81.46;81.46;93.06;93.06;0.24;0.24;0.02
1981;1;16;5.94;5.94;-16.6;-16.6;0;0;0;0;81.94;81.94;80.17;80.17;99;99;0.24;0.24;0.02
1981;1;17;3.08;3.08;-13.6;-13.6;0;0;0;0;81.94;81.94;78.89;78.89;102.08;102.08;0.23;0.23;0.02
1981;1;18;4.8;4.8;-11.6;-11.6;0;0;0;0;81.94;81.94;77.63;77.63;106.88;106.88;0.22;0.22;0.02
1981;1;19;9.38;9.38;-12.4;-12.4;0;0;0;0;81.94;81.94;76.39;76.39;116.26;116.26;0.22;0.22;0.02
1981;1;20;11.31;11.31;-13.2;-13.2;0;0;0;0;81.94;81.94;75.17;75.17;127.57;127.57;0.21;0.21;0.02
1981;1;21;5.52;5.52;-15.2;-15.2;0;0;0;0;81.94;81.94;73.98;73.98;133.09;133.09;0.21;0.21;0.03
1981;1;22;0;0;-15.9;-15.9;0;0;0;0;81.94;81.94;72.8;72.8;133.09;133.09;0.2;0.2;0.03
1981;1;23;0;0;-13.4;-13.4;0;0;0;0;81.94;81.94;71.64;71.64;133.09;133.09;0.2;0.2;0.03
1981;1;24;0;0;-10.4;-10.4;0;0;0;0;81.94;81.94;70.5;70.5;133.09;133.09;0.19;0.19;0.03
1981;1;25;0.42;0.42;-11.1;-11.1;0;0;0;0;81.94;81.94;69.37;69.37;133.51;133.51;0.19;0.19;0.03
1981;1;26;8.86;8.86;-12.7;-12.7;0;0;0;0;81.94;81.94;68.27;68.27;142.37;142.37;0.19;0.19;0.03
1981;1;27;0.17;0.17;-14.1;-14.1;0;0;0;0;81.94;81.94;67.18;67.18;142.54;142.54;0.18;0.18;0.03
1981;1;28;0.15;0.15;-15;-15;0;0;0;0;81.94;81.94;66.11;66.11;142.69;142.69;0.18;0.18;0.04
