ID;NB;NSE;KGE;CORR;MSE;pBIAS;MSIM;MOBS;fewobs
731;360;0.6596;0.7118;0.8305;2.9677;18.5;3.2354;2.7299;0
732;361;0.4988;0.4172;0.7709;24.0369;50.2;6.3419;4.2221;0
734;362;;;;;;;;1
740;363;0.5812;0.5773;0.777;0.2809;-15.6;0.4939;0.5854;0
746;364;0.4054;0.5643;0.6644;0.2474;10.7;1.1496;1.0383;0
748;365;0.6085;0.6796;0.8001;0.3555;18.4;1.0723;0.9054;0
750;366;0.6256;0.6955;0.8063;0.2899;16.2;0.9755;0.8394;0
751;367;0.2448;0.4059;0.5345;0.2786;13.2;0.843;0.7445;0
752;368;0.6718;0.7121;0.821;0.3658;-0.2;0.7489;0.7507;0
753;369;0.5311;0.6467;0.7506;1.2394;12.8;2.5329;2.2459;0
754;370;0.6007;0.6394;0.7861;0.0039;12;0.1119;0.0999;0
755;371;0.644;0.709;0.8225;0.7611;16.7;1.8319;1.5694;0
756;372;-0.3384;-0.222;0.8004;0.1793;119.8;0.6627;0.3015;0
763;373;0.0234;0.3632;0.4197;0.1749;9.4;0.9826;0.8978;0
764;374;0.1114;0.261;0.4352;1.741;24.5;1.6463;1.3223;0
766;375;0.6723;0.7342;0.8326;1.2354;15.7;2.0124;1.7388;0
769;376;0.4915;0.631;0.7262;0.1841;12.8;0.9471;0.8395;0
770;377;0.2052;0.3458;0.4846;0.303;11.7;0.667;0.5971;0
771;378;0.5864;0.5473;0.7924;0.1062;-20;0.2974;0.3718;0
772;379;0.5114;0.5708;0.7355;0.0655;23.7;0.3256;0.2632;0
773;380;0.558;0.6455;0.7575;0.1216;11.2;0.6539;0.5882;0
774;381;0.5935;0.638;0.7909;0.0133;24.2;0.162;0.1304;0
776;382;0.3244;0.4943;0.6027;0.3634;13.1;1.0223;0.9039;0
777;383;0.7365;0.7792;0.8587;0.1507;-0.8;0.6877;0.6931;0
778;384;-0.0761;0.3019;0.3391;0.3232;-0.8;1.7284;1.7424;0
779;385;0.2835;0.2255;0.5731;0.0271;51.6;0.1193;0.0787;0
782;386;0.6063;0.6495;0.7869;0.0764;15.7;0.3652;0.3157;0
784;387;0.352;0.4703;0.6033;0.1138;7.5;0.576;0.536;0
786;388;0.0098;0.4159;0.6263;0.4928;43.1;1.3297;0.9295;0
787;389;0.5841;0.7164;0.783;0.4921;10.8;1.7413;1.5721;0
788;390;0.1752;0.4114;0.5107;0.4924;14.6;1.3159;1.1483;0
790;391;;;;;;;;1
791;392;;;;;;;;1
796;393;0.4451;0.5771;0.6789;0.1433;4.9;1.2616;1.2032;0
797;394;0.8145;0.7704;0.9137;0.7254;-18.9;1.2091;1.4901;0
799;395;0.6844;0.7565;0.8273;24.8055;0.2;9.5017;9.483;0
800;396;;;;;;;;1
801;397;0.8886;0.9222;0.9427;0.3255;-0.3;1.7193;1.7242;0
804;398;0.396;0.3099;0.6458;5.7305;43.3;1.3863;0.9676;0
807;399;0.8523;0.8994;0.9243;6.5869;3.5;8.071;7.796;0
810;400;0.5729;0.6852;0.7597;11.5436;3.4;8.2461;7.9778;0
811;401;0.4192;0.5999;0.8014;26.5872;-26.5;8.8327;12.0236;0
812;402;0.8262;0.8694;0.9097;5.9039;3.6;5.8666;5.661;0
813;403;0.8339;0.8663;0.9143;5.805;5.6;4.9324;4.6701;0
814;404;0.8791;0.9073;0.9378;1.9469;2.3;3.1031;3.0319;0
815;405;0.859;0.8815;0.9285;0.5813;5.2;2.2468;2.1348;0
817;406;0.6013;0.7136;0.7768;0.1788;-0.9;1.0856;1.0956;0
818;407;0.6423;0.6469;0.8657;0.2892;28.5;1.3244;1.0309;0
819;408;0.7829;0.8379;0.8859;0.1687;4.8;0.821;0.7833;0
822;409;0.6513;0.6841;0.8094;1.5309;-1.4;1.8313;1.8571;0
823;410;0.7161;0.6643;0.863;1.0187;-1.3;1.5291;1.549;0
825;411;0.7553;0.7729;0.8721;4.601;-5.6;3.6919;3.9119;0
826;412;0.6127;0.6764;0.7891;15.4414;14.1;5.0871;4.4599;0
828;413;0.3242;0.3533;0.6049;8.4118;28.4;3.2205;2.5089;0
830;414;;;;;;;;1
832;415;;;;;;;;1
834;416;0.7043;0.6824;0.8457;18.6006;15.6;4.2433;3.6696;0
837;417;0.427;0.4485;0.6716;0.6439;28.9;0.7322;0.5681;0
839;418;0.599;0.6468;0.7805;0.0261;18.1;0.1674;0.1417;0
841;419;0.7091;0.5748;0.8583;0.3026;37.6;0.6201;0.4508;0
842;420;0.6059;0.1651;0.8201;0.2777;76.2;0.4545;0.2579;0
845;421;0.2897;-0.077;0.5932;0.0291;88.5;0.105;0.0557;0
846;422;0.4802;0.4276;0.7178;0.2287;41.1;0.427;0.3027;0
850;423;0.3184;0.3362;0.5749;0.0161;22.7;0.0877;0.0715;0
852;424;;;;;;;;1
854;425;0.4551;0.4915;0.6946;0.4175;27.3;0.6757;0.531;0
858;426;0.3292;0.3836;0.5948;0.1373;25.8;0.3423;0.272;0
860;427;0.6653;0.7223;0.8212;1.1538;12.2;1.6133;1.4373;0
863;428;0.5857;0.6501;0.7752;2.831;15.7;2.3635;2.0422;0
866;429;0.2738;0.3236;0.5362;0.4593;14.8;0.7212;0.6283;0
868;430;0.4841;0.5387;0.7;0.1284;12.9;0.3169;0.2806;0
871;431;0.6412;0.6951;0.818;1.3115;17.1;2.1872;1.8681;0
872;432;0.2335;0.2441;0.5125;0.0101;34.2;0.0766;0.0571;0
875;433;0.4645;0.5228;0.6932;1.9404;19.4;1.4834;1.2426;0
876;434;0.5916;0.6222;0.7783;0.7951;19.1;1.0246;0.8602;0
879;435;0.4286;0.5092;0.6635;1.9714;15.3;1.5047;1.3055;0
882;436;0.2545;-0.1099;0.5902;0.0276;90.6;0.1195;0.0627;0
3;437;0.4869;0.5807;0.7059;31.3169;-13.9;5.0083;5.8144;0
12;438;0.3796;0.6109;0.7445;0.3074;-15.7;1.5781;1.8723;0
16;439;0.6058;0.6659;0.781;21.1624;9.3;5.3739;4.9171;0
18;440;0.4813;0.5013;0.7292;3.051;27.1;2.495;1.9629;0
21;441;0.7843;0.8221;0.8875;19.0249;-6;8.3899;8.9239;0
26;442;0.4283;0.3563;0.8763;72.3787;-54.3;5.1801;11.3467;0
34;443;0.7919;0.8377;0.8909;6.981;-5.1;4.689;4.9391;0
39;444;0.6477;0.7334;0.8051;19.3456;1.6;8.4345;8.304;0
50;445;0.8469;0.8792;0.9207;12.9701;2.7;9.3633;9.1164;0
56;446;0.8838;0.8734;0.943;5.0282;-10.1;4.2914;4.7752;0
71;447;0.8546;0.8781;0.9278;10.0034;6;11.4285;10.7766;0
80;448;0.3865;0.5053;0.6242;1.6188;-1.7;1.2928;1.3154;0
85;449;0.1892;0.4432;0.5639;10.6555;18.8;7.4937;6.3053;0
91;450;0.6535;0.7447;0.8099;35.0112;4.1;10.7373;10.3137;0
95;451;0.7321;0.7751;0.8754;16.9034;13.3;12.5262;11.0589;0
98;452;0.6592;0.7374;0.8121;1.4153;1.4;2.5779;2.5423;0
102;453;;;;;;;;1
105;454;0.6703;0.7483;0.8209;5.6749;5;5.2131;4.967;0
110;455;;;;;;;;1
113;456;0.8435;0.8696;0.9193;4.5511;-4.7;4.4055;4.6217;0
124;457;0.8738;0.9062;0.9351;2.079;-1.6;5.8726;5.9707;0
126;458;0.8188;0.8789;0.9052;5.3145;-0.9;8.6102;8.6901;0
127;459;0.6366;0.7022;0.8209;4.5639;-16.3;3.4995;4.1835;0
133;460;0.6527;0.7135;0.8107;94.5709;6.1;18.9289;17.8475;0
136;461;0.7309;0.7605;0.8632;56.6047;8.9;20.0595;18.417;0
141;462;0.667;0.7103;0.8197;4.975;5.1;4.5764;4.3545;0
151;463;0.4506;0.403;0.7402;1.5605;48.9;1.5913;1.069;0
154;464;0.488;0.5172;0.7716;2.2181;29.3;2.9182;2.2565;0
156;465;0.1963;0.1987;0.5698;0.5501;43.8;0.9452;0.6572;0
158;466;0.2807;0.0298;0.7871;0.4068;94;0.8892;0.4583;0
165;467;0.6333;0.6161;0.817;6.7585;22.6;4.0135;3.2735;0
170;468;0.6781;0.6974;0.8342;0.8082;20.3;1.2458;1.0352;0
175;469;0.679;0.721;0.8272;0.6679;12.6;0.9391;0.8341;0
182;470;0.7568;0.7968;0.8711;2.8502;-4.1;2.983;3.1112;0
184;471;0.7043;0.7187;0.8495;7.2292;-10.8;4.7547;5.3307;0
189;472;0.6331;0.6719;0.8042;2.4718;17.3;2.0547;1.7524;0
193;473;0.6605;0.7176;0.8165;2.0189;13.6;1.5515;1.3652;0
198;474;0.7661;0.807;0.8756;2.5015;1.1;3.1228;3.0883;0
204;475;0.7818;0.7601;0.902;89.3175;-16.4;17.7152;21.1961;0
209;476;0.6846;0.7278;0.8293;34.8474;4.1;11.2099;10.7674;0
215;477;0.6969;0.7245;0.8379;5.2203;5.1;4.0243;3.8298;0
221;478;0.7427;0.791;0.8641;13.2659;6.5;7.2861;6.8399;0
223;479;0.6103;0.438;0.8452;1.9178;47.9;2.1121;1.4283;0
231;480;0.732;0.7708;0.8564;31.4254;-1.3;12.596;12.7594;0
237;481;0.6737;0.7115;0.8299;4.2611;14.7;3.4388;2.997;0
243;482;0.669;0.6506;0.8401;3.0171;26.8;2.7358;2.1569;0
248;483;0.7735;0.8407;0.8797;48.2424;-0.5;21.6003;21.6981;0
258;484;0.7145;0.7562;0.8503;80.3417;-7;19.6474;21.1218;0
266;485;0.6445;0.5895;0.8998;13.6347;-36;4.4061;6.8861;0
270;486;0.6762;0.7194;0.8234;6.2603;1.1;5.547;5.4885;0
284;487;0.4807;0.5543;0.7108;1.7186;18.4;1.8367;1.5519;0
286;488;0.637;0.6902;0.8021;3.5471;7.7;3.2468;3.0148;0
291;489;0.6908;0.7382;0.8376;3.713;9.9;3.9287;3.5741;0
296;490;;;;;;;;1
304;491;0.6529;0.6957;0.813;17;-7.7;6.7639;7.3271;0
309;492;;;;;;;;1
313;493;0.5595;0.6391;0.754;1.5341;11.1;1.7617;1.5855;0
317;494;0.5727;0.5859;0.7647;9.1941;13.3;3.0513;2.6941;0
319;495;;;;;;;;1
327;496;;;;;;;;1
331;497;0.6706;0.7199;0.8214;5.8941;7.7;3.5476;3.2926;0
336;498;0.6936;0.7607;0.8343;7.8736;4.9;5.3536;5.1038;0
338;499;0.587;0.6539;0.7674;0.1884;4;0.6709;0.6453;0
341;500;;;;;;;;1
345;501;0.4088;0.3006;0.6749;5.8928;46.5;1.9819;1.3526;0
355;502;0.5116;0.5939;0.7153;2.7981;1.9;1.1918;1.1693;0
357;503;0.6011;0.6382;0.7796;3.7756;15.9;1.7751;1.532;0
360;504;0.6164;0.6669;0.7885;5.8812;9.3;3.088;2.824;0
367;505;;;;;;;;1
381;506;0.6664;0.7047;0.8224;1.7671;11.7;2.1099;1.889;0
384;507;0.7458;0.7895;0.8698;0.2236;11.6;0.9299;0.833;0
391;508;;;;;;;;1
396;509;0.3705;0.5096;0.6157;0.1549;3.2;0.7274;0.705;0
403;510;0.6689;0.7342;0.818;9.3891;1;5.3453;5.2933;0
406;511;0.5308;0.6861;0.7618;0.1777;12.9;1.1192;0.9914;0
410;512;;;;;;;;1
416;513;-0.2602;0.0012;0.6764;0.1171;78.6;0.5701;0.3192;0
429;514;0.2573;0.2775;0.5213;0.7373;11.7;1.0404;0.9312;0
432;515;0.0736;0.0095;0.2964;0.4142;14.9;0.606;0.5275;0
437;516;0.3388;0.4096;0.5889;0.7034;7.9;1.2534;1.1612;0
446;517;0.289;0.4173;0.5493;2.59;4.9;3.045;2.9018;0
450;518;0.164;0.1733;0.4139;0.3596;11.3;0.5426;0.4873;0
454;519;0.4326;0.5281;0.6607;6.7841;4.2;5.301;5.0895;0
458;520;0.3038;0.3945;0.5884;1.1223;18.7;1.6575;1.3962;0
462;521;0.1549;0.145;0.3936;0.4648;0.3;0.7204;0.7186;0
466;522;0.1925;0.2232;0.4449;0.5187;13.2;0.4721;0.4169;0
470;523;0.371;0.4855;0.6157;1.0872;6.5;1.6208;1.5216;0
473;524;0.7635;0.8339;0.8744;9.195;2;7.8343;7.677;0
479;525;0.8316;0.8772;0.9119;15.7524;0.1;11.0196;11.0035;0
486;526;0.7886;0.846;0.8881;8.4121;0.7;8.6928;8.6324;0
493;527;0.6554;0.7261;0.8099;18.149;-2.1;6.9113;7.0629;0
507;528;0.3244;0.4018;0.5759;61.7353;8.6;10.1453;9.3385;0
512;529;0.5664;0.6154;0.7587;7.2365;13.9;3.1152;2.7353;0
515;530;0.5454;0.5969;0.7564;4.4783;15;3.8074;3.3099;0
526;531;0.7253;0.7996;0.8543;8.6267;4.5;8.5746;8.2058;0
530;532;0.8882;0.8864;0.945;14.297;7.3;11.3748;10.6011;0
532;533;0.8565;0.7885;0.9354;4.3168;-15.1;3.6112;4.2533;0
543;534;0.694;0.591;0.8733;15.6345;-0.3;7.8181;7.8433;0
550;535;0.64;0.7003;0.8027;8.3518;4.7;6.6139;6.32;0
552;536;0.4548;0.5389;0.6744;1.1139;-1.1;1.0146;1.0256;0
555;537;0.5292;0.6204;0.7287;2.5711;3.1;3.2118;3.1143;0
561;538;;;;;;;;1
566;539;0.6689;0.7267;0.8222;25.2293;7.6;10.2098;9.4881;0
574;540;0.5577;0.6303;0.7486;13.0538;-4.8;5.4145;5.6879;0
576;541;0.6168;0.719;0.7888;3.152;5.1;3.8046;3.619;0
581;542;0.3791;0.471;0.6215;4.9148;4.6;5.2892;5.0545;0
586;543;0.462;0.6008;0.6867;0.3476;3.3;1.7586;1.7023;0
590;544;;;;;;;;1
596;545;0.4985;0.586;0.7237;2.2242;13.5;2.7994;2.4654;0
605;546;0.5218;0.6325;0.7237;3.8265;1.6;5.3213;5.2399;0
618;547;0.7478;0.8109;0.8648;97.6475;0.1;21.2995;21.2863;0
628;548;0.6103;0.681;0.7846;12.7649;5;8.6006;8.1913;0
633;549;0.641;0.4781;0.8669;7.6378;49.6;4.5899;3.068;0
642;550;0.6829;0.7313;0.8336;44.1199;10.1;13.9467;12.6698;0
647;551;0.3515;0.4816;0.6008;4.7586;2.8;6.6386;6.4557;0
652;552;0.7888;0.8072;0.8897;12.7979;4;6.0363;5.8048;0
659;553;0.7992;0.8355;0.8947;12.4436;3.7;7.1343;6.8793;0
664;554;0.8302;0.8612;0.9122;8.7089;3.1;9.3897;9.1047;0
666;555;0.8061;0.8772;0.8993;6.005;2;11.1305;10.9089;0
671;556;0.721;0.7798;0.8492;67.2542;0.5;19.0654;18.9693;0
675;557;0.6253;0.6656;0.9109;23.5588;28.5;15.9953;12.4432;0
682;558;0.5875;0.6626;0.8083;12.4566;19.2;8.7632;7.3547;0
693;559;0.654;0.7213;0.8114;22.876;5.8;9.7662;9.2297;0
700;560;0.5466;0.4151;0.8122;23.418;52.7;6.9972;4.5837;0
708;561;0.7429;0.7676;0.8637;59.3625;-2.3;16.0398;16.4208;0
715;562;0.606;0.7003;0.7796;35.036;3.9;9.4186;9.0681;0
724;563;0.7244;0.761;0.8524;25.9742;2.2;11.2809;11.0375;0
730;564;0.6753;0.7336;0.8264;285.153;7;39.0518;36.5098;0
733;565;0.5818;0.5797;0.7943;44.1811;30;9.8659;7.5877;0
743;566;0.7205;0.8017;0.8541;0.471;7;1.777;1.6611;0
758;567;-9.2581;-3.7226;0.7783;2.1796;471.4;1.7406;0.3046;0
759;568;0.6943;0.6872;0.8428;12.5552;-11.7;4.4712;5.0658;0
762;569;0.494;0.5664;0.7088;0.5384;6.4;1.5148;1.4234;0
767;570;0.4667;0.6596;0.7481;2.9252;19.9;3.8284;3.193;0
768;571;0.4137;0.582;0.6636;2.0162;6.7;3.8598;3.6166;0
785;572;0.7805;0.7856;0.8871;1.3851;8.7;2.0371;1.8747;0
789;573;0.7495;0.8136;0.877;2.3556;9.1;5.1029;4.6766;0
792;574;0.7035;0.7052;0.8466;2.1246;15.9;2.0924;1.8047;0
793;575;;;;;;;;1
795;576;0.7119;0.7878;0.8439;1.4816;0.3;4.7091;4.6946;0
798;577;0.7021;0.7717;0.8431;202.1006;7.2;36.2794;33.8483;0
802;578;0.8901;0.9279;0.9436;3.0598;0.6;5.5253;5.4914;0
809;579;0.2813;0.5796;0.766;4.0695;27;6.183;4.8681;0
816;580;0.8822;0.8509;0.9478;61.4139;12;26.7423;23.8689;0
824;581;0.7403;0.7698;0.8617;12.1223;1.5;6.4762;6.3814;0
831;582;0.6975;0.7414;0.8383;41.2965;12.6;7.5327;6.6923;0
838;583;-0.064;-0.5695;0.4836;0.063;146.4;0.188;0.0763;0
843;584;0.6158;0.3075;0.8319;8.1842;63.3;3.2154;1.9693;0
847;585;0.5079;0.4464;0.7447;6.6825;38.1;2.7952;2.0247;0
851;586;0.5946;0.6496;0.7851;5.3763;20;3.1838;2.6534;0
859;587;0.3351;0.3525;0.6285;0.6586;41.3;0.8226;0.582;0
861;588;0.6493;0.6776;0.8131;6.8339;13.1;3.8441;3.3985;0
867;589;0.1836;0.1211;0.4499;2.5945;3.2;1.5584;1.5106;0
873;590;0.6297;0.6585;0.8073;13.1925;17;5.9714;5.105;0
877;591;0.5837;0.5891;0.775;5.309;13.4;2.7868;2.4565;0
7;592;0.7757;0.8214;0.8808;108.5172;-0.1;27.9991;28.0277;0
19;593;0.6597;0.6745;0.8202;30.2109;13.6;7.8854;6.9431;0
22;594;0.7571;0.7691;0.8752;55.2674;-8.7;12.7902;14.0018;0
27;595;0.6149;0.7138;0.7848;30.1293;-2.2;6.0412;6.1801;0
35;596;0.8334;0.8799;0.9129;33.5433;-0.1;13.8115;13.823;0
51;597;0.8609;0.841;0.9371;51.8432;12.4;22.9387;20.4088;0
58;598;0.8994;0.8956;0.9502;58.3323;6.7;22.1801;20.7809;0
74;599;0.8541;0.8895;0.9242;53.5206;0.2;24.563;24.5244;0
86;600;0.5639;0.6892;0.7536;8.6473;-1.4;8.1072;8.222;0
106;601;0.729;0.786;0.8557;24.7149;4.6;12.0593;11.5304;0
117;602;0.8595;0.875;0.9276;73.3021;1.2;23.4933;23.2135;0
121;603;0.0174;0.069;0.2461;51.6115;0.1;10.0721;10.0622;0
128;604;0.804;0.8546;0.8967;17.5129;0.8;10.7059;10.6199;0
147;605;0.7254;0.7872;0.8573;287.1137;7.1;47.5708;44.4199;0
159;606;0.0117;0.423;0.7009;1.1079;48.7;2.1212;1.4263;0
167;607;0.6672;0.737;0.8284;9.3508;14;5.8049;5.0926;0
171;608;0.6939;0.7114;0.839;3.6208;12.3;2.8272;2.5178;0
176;609;0.6279;0.6522;0.7997;3.7856;19.2;2.1296;1.7865;0
186;610;0.7537;0.7895;0.871;12.2999;-5.6;7.7053;8.1623;0
190;611;0.6665;0.7181;0.819;2.8396;8.2;2.3969;2.2161;0
195;612;0.7198;0.7735;0.8491;12.5807;5.3;4.5162;4.2888;0
206;613;0.8011;0.8493;0.8956;200.4332;-2.8;34.6928;35.6891;0
216;614;0.7534;0.7833;0.8691;13.0926;-1.1;9.0123;9.1089;0
224;615;0.7387;0.7457;0.8665;25.761;11;9.6802;8.7237;0
233;616;0.746;0.7824;0.8648;43.994;2.6;15.3778;14.9886;0
239;617;0.6894;0.7255;0.8397;14.3553;14.3;6.7989;5.9499;0
249;618;;;;;;;;1
267;619;0.7465;0.7961;0.8674;16.1646;-6;9.3793;9.9814;0
273;620;0.6956;0.7213;0.8439;23.8154;-10;9.3793;10.419;0
287;621;0.6593;0.7016;0.8224;13.9572;13.8;6.8399;6.0101;0
297;622;0.6456;0.6798;0.8092;145.4012;-8.5;17.8016;19.4472;0
307;623;;;;;;;;1
310;624;0.6821;0.7456;0.828;5.2391;8.6;3.0185;2.7797;0
320;625;0.7236;0.789;0.8509;15.7944;2.3;6.3209;6.181;0
328;626;0.6753;0.7235;0.8228;12.6864;-1.7;8.0991;8.2398;0
339;627;0.5657;0.7041;0.7578;20.6931;4.7;7.5257;7.1867;0
358;628;;;;;;;;1
368;629;0.6549;0.744;0.8098;1.6482;1.4;3.2038;3.1595;0
385;630;0.7304;0.7194;0.8631;4.541;14.5;3.3764;2.9477;0
386;631;0.6603;0.6462;0.8378;3.8821;26.6;3.2839;2.5942;0
404;632;0.6609;0.7275;0.813;15.1713;-0.4;8.3079;8.3371;0
412;633;0.4158;0.5079;0.6505;3.9074;6.2;3.7746;3.5536;0
433;634;0.3791;0.4724;0.6183;0.2382;4.4;0.7699;0.7375;0
438;635;0.287;0.2932;0.5424;1.7681;2.6;1.7074;1.6645;0
448;636;0.2922;0.3741;0.5567;6.3444;10.6;4.148;3.7515;0
451;637;0.1963;0.2076;0.4569;5.4178;14.5;2.2738;1.9867;0
460;638;0.2525;0.2418;0.523;4.2944;11;2.4926;2.246;0
467;639;0.1866;0.1751;0.4448;6.805;26.5;1.4651;1.1581;0
474;640;0.7751;0.8379;0.8806;10.9716;1.4;9.2168;9.0886;0
494;641;0.6953;0.7462;0.8344;33.8421;1.2;14.4207;14.2507;0
518;642;0.4659;0.5208;0.6866;32.3993;7.7;6.7766;6.2907;0
527;643;0.6016;0.7071;0.7957;30.0886;11.5;14.7002;13.1783;0
533;644;0.9031;0.921;0.9505;45.514;1.3;20.8489;20.5779;0
544;645;0.6134;0.695;0.814;45.0332;13.3;20.367;17.9788;0
553;646;;;;;;;;1
556;647;0.4638;0.5542;0.6814;4.1398;1.4;4.4416;4.3799;0
562;648;0.4306;0.5045;0.6613;0.2747;3.3;1.7365;1.6815;0
567;649;0.6495;0.6987;0.8122;85.283;9;18.1861;16.6873;0
578;650;0.5232;0.5985;0.7274;8.5035;5.8;5.8287;5.511;0
587;651;0.4207;0.5369;0.652;1.6295;2.3;3.7052;3.6207;0
592;652;;;;;;;;1
607;653;0.4703;0.4916;0.6929;12.9637;0.7;8.7312;8.6663;0
619;654;0.7794;0.8281;0.8829;347.9756;0;46.9905;47.0082;0
632;655;0.7365;0.659;0.8805;89.4698;29.4;15.9777;12.3514;0
643;656;0.7192;0.7774;0.8555;67.5672;10.1;19.0209;17.2759;0
648;657;0.4278;0.722;0.7599;5.129;13.5;8.3025;7.3161;0
653;658;0.8118;0.8294;0.9039;40.5815;5.8;17.26;16.3154;0
660;659;;;;;;;;1
667;660;0.7652;0.8097;0.8767;107.0888;4.5;27.8042;26.6176;0
676;661;0.5317;0.3558;0.8125;20.1788;51.5;6.28;4.1445;0
683;662;0.5151;0.5796;0.8477;36.2589;35.2;14.9738;11.0773;0
694;663;0.6799;0.709;0.8361;44.5616;10.3;16.2053;14.6968;0
701;664;0.6005;0.6068;0.82;18.5627;30.9;7.7266;5.9036;0
716;665;;;;;;;;1
742;666;-7.1929;-2.3428;0.7528;2.0025;333.2;1.7758;0.4099;0
747;667;0.5554;0.6602;0.756;1.0514;9;2.3056;2.1147;0
757;668;0.6979;0.7971;0.8498;2.2765;9.1;4.8551;4.4483;0
760;669;0.706;0.752;0.8481;5.4604;14.9;3.7322;3.2474;0
761;670;0.5317;0.7003;0.7832;3.0434;15.4;5.2582;4.5577;0
780;671;0.7648;0.7637;0.8822;14.0874;15.3;6.6666;5.784;0
783;672;0.5526;0.5435;0.8159;2.9486;37.9;3.142;2.2789;0
803;673;0.8299;0.8144;0.932;24.36;15.9;17.1407;14.7846;0
808;674;0.8066;0.8711;0.8989;94.7439;2.5;25.3825;24.765;0
820;675;0.8451;0.873;0.9195;107.4916;1.8;20.738;20.3759;0
827;676;0.7484;0.7151;0.8803;89.5481;14.2;19.8737;17.4062;0
833;677;0.7215;0.7375;0.853;67.8705;11.8;10.2913;9.2082;0
862;678;0.4645;0.6007;0.6904;10.4846;9;4.3456;3.9862;0
869;679;0.4623;0.5154;0.7065;11.8616;21.3;5.0733;4.1811;0
874;680;0.3878;0.5293;0.6726;21.706;26.6;6.376;5.0365;0
878;681;0.6166;0.6394;0.7933;7.9552;13.4;3.7775;3.3321;0
9;682;0.7812;0.8696;0.9032;393.9305;7;72.0793;67.3866;0
29;683;0.748;0.7809;0.8694;503.3575;-8.1;43.0179;46.8138;0
38;684;0.7868;0.8378;0.8889;358.57;5.1;48.0559;45.7347;0
60;685;0.9023;0.9067;0.9505;94.5487;2.6;28.5575;27.838;0
82;686;0.3896;0.6671;0.6745;261.8585;-0.4;27.2728;27.3713;0
108;687;0.7239;0.8155;0.8525;129.4623;2.8;28.8844;28.089;0
120;688;0.2585;0.3427;0.5111;9.3141;0.7;7.1744;7.1216;0
160;689;-3.1443;-0.6131;0.6911;2.7158;157.3;2.4354;0.9465;0
179;690;0.6769;0.7041;0.829;16.6886;15.4;5.4394;4.7148;0
207;691;0.805;0.8585;0.8977;227.7143;-2.3;40.2255;41.1791;0
218;692;0.7167;0.7717;0.8468;38.8492;0.7;16.9148;16.8029;0
252;693;0.7934;0.8514;0.8916;503.2518;2.9;67.1521;65.2792;0
276;694;0.7124;0.7114;0.8638;125.6268;-12.9;23.1807;26.6016;0
300;695;0.7457;0.7875;0.864;290.2643;0.7;30.6985;30.4951;0
311;696;0.7551;0.8105;0.869;46.2933;-0.7;14.9051;15.0142;0
332;697;0.7251;0.7873;0.8519;41.6056;2.2;13.9299;13.6299;0
342;698;0.546;0.6945;0.7451;24.4544;3.2;8.3558;8.1001;0
370;699;-0.0043;0.4286;0.8277;3.3237;54.5;4.184;2.7086;0
387;700;0.6807;0.686;0.8335;35.6404;15.9;8.3481;7.1999;0
407;701;0.6516;0.7111;0.8077;15.1705;4.4;3.3459;3.2048;0
434;702;0.475;0.5293;0.6921;0.5616;3.9;1.1787;1.1344;0
440;703;0.3783;0.4607;0.6255;3.4365;9.5;3.0791;2.8117;0
452;704;0.3;0.3185;0.56;21.445;8;6.7531;6.2548;0
463;705;0.2954;0.3709;0.5891;9.3694;24.5;4.2096;3.3815;0
468;706;0.2341;0.252;0.5296;8.0239;43.9;2.0809;1.4461;0
481;707;0.7928;0.8857;0.9;55.3189;5.5;24.7142;23.424;0
497;708;0.7012;0.7597;0.8404;69.5686;4.6;24.3386;23.2691;0
519;709;0.5811;0.6586;0.7644;124.3869;6.2;16.7274;15.755;0
537;710;0.9077;0.9004;0.9553;126.784;6.5;40.9597;38.4439;0
547;711;0.7425;0.8355;0.8653;66.5573;4.1;25.4536;24.4554;0
557;712;0.6525;0.7297;0.8081;57.5385;-1.8;16.2024;16.4914;0
563;713;0.3651;0.5473;0.6317;0.7865;5.9;2.9162;2.7531;0
569;714;0.6761;0.7245;0.8254;163.6525;5.4;28.3814;26.9296;0
582;715;0.3069;0.4044;0.5685;41.4484;8.1;12.8241;11.8632;0
597;716;0.5085;0.5971;0.7179;14.5125;5.1;9.2627;8.8137;0
609;717;0.5498;0.6431;0.7498;18.1184;6;12.5416;11.8335;0
630;718;0.7442;0.7809;0.8699;3.2436;5.2;7.5431;7.1693;0
656;719;0.8326;0.8542;0.9143;77.0695;5.8;21.847;20.6457;0
668;720;0.8076;0.8326;0.9007;154.3413;4.3;36.5972;35.0942;0
677;721;0.5848;0.6567;0.7656;193.7197;2.6;28.6369;27.9149;0
684;722;0.7445;0.7966;0.8659;49.9419;4.6;22.7635;21.7604;0
688;723;0.4078;0.6895;0.7001;77.3965;6.9;22.2013;20.7724;0
702;724;0.6556;0.6996;0.8336;52.5211;19.8;14.7621;12.3212;0
717;725;0.7588;0.7806;0.8743;70.0989;6;18.1323;17.099;0
735;726;0.7974;0.8144;0.8973;50.9208;10;15.1096;13.7363;0
739;727;0.6053;0.7161;0.7856;1.687;6.2;3.5818;3.372;0
741;728;0.7095;0.7898;0.8511;5.9775;9.1;6.3697;5.8368;0
805;729;0.3624;0.4908;0.7734;740.3242;42.6;54.899;38.4983;0
821;730;0.6146;0.7141;0.8711;730.0673;20.4;65.2498;54.2131;0
829;731;0.736;0.7142;0.8782;224.2015;20.1;31.9468;26.6091;0
