ID;NB;NSE;KGE;CORR;MSE;pBIAS;MSIM;MOBS;fewobs
150;82;0.4096;0.3745;0.7134;0.9566;48.5;1.2278;0.827;0
152;83;0.6764;0.7792;0.8322;0.2913;7.4;1.6416;1.5287;0
153;84;0.6268;0.6732;0.7959;0.0712;13.5;0.295;0.2598;0
155;85;0.4385;0.5552;0.6829;0.0195;16.4;0.2098;0.1802;0
157;86;0.1456;0.1875;0.566;0.3484;59.5;0.6986;0.438;0
161;87;0.4442;0.5697;0.671;0.0221;1.3;0.9034;0.8919;0
163;88;0.6901;0.7597;0.8311;0.1231;2.9;0.5509;0.5352;0
164;89;0.6137;0.6995;0.7876;0.0837;7.4;0.5415;0.5044;0
166;90;0.2595;0.3247;0.6068;0.6574;46;0.9452;0.6473;0
168;91;0.6219;0.656;0.8081;0.3372;21.1;0.958;0.7914;0
169;92;0.5832;0.5636;0.7824;0.0384;25.5;0.2371;0.1889;0
172;93;0.6135;0.6288;0.7907;1.3466;21.1;1.1471;0.947;0
174;94;0.6587;0.7384;0.8157;0.0507;11.8;0.2563;0.2292;0
177;95;0.5817;0.6525;0.7711;0.331;17.9;0.626;0.5311;0
178;96;0.636;0.72;0.8006;0.4565;6.2;1.3127;1.2357;0
180;97;0.6762;0.7297;0.8254;2.313;-6.1;2.799;2.98;0
181;98;0.5726;0.6094;0.7605;0.5076;-7;0.6476;0.696;0
183;99;0.6619;0.6914;0.8203;3.2236;-9.6;2.6523;2.9332;0
185;100;0.7036;0.7732;0.839;0.9035;1.3;1.9231;1.8979;0
188;101;0.6479;0.7079;0.8142;0.2682;14.2;0.8565;0.7499;0
191;102;0.5886;0.6413;0.7714;0.1423;14;0.3814;0.3346;0
192;103;0.6161;0.7231;0.789;0.7354;9.8;0.8117;0.7394;0
194;104;0.645;0.6923;0.8042;0.8015;-2.2;0.8049;0.8229;0
196;105;0.6662;0.7477;0.8163;0.275;-1;0.7554;0.7631;0
197;106;0.632;0.7177;0.796;0.0776;-4.2;0.4004;0.4181;0
199;107;0.7438;0.7803;0.864;0.0586;-4.8;0.4016;0.4219;0
200;108;0.8022;0.8567;0.8957;7.5212;0.8;6.4493;6.3952;0
201;109;0.7301;0.7035;0.8734;5.1993;-20.6;2.9654;3.7339;0
202;110;0.5262;0.6154;0.7264;0.2431;-4.8;0.5434;0.571;0
203;111;0.7502;0.7714;0.8763;3.293;-13.9;2.9846;3.467;0
205;112;0.7199;0.6028;0.9021;4.3888;-32.1;2.3801;3.505;0
208;113;0.6376;0.6977;0.799;9.8954;1.4;5.4186;5.3439;0
210;114;0.5906;0.597;0.7842;3.1522;-18.7;1.6929;2.0822;0
212;115;0.6153;0.7205;0.7918;0.787;11;1.308;1.1784;0
213;116;0.7277;0.7426;0.8577;0.3107;-4.9;1.2472;1.3113;0
214;117;0.645;0.6964;0.8087;0.2664;7;1.1852;1.108;0
217;118;0.5128;0.509;0.7956;2.8467;-33.5;1.6078;2.4165;0
219;119;0.7311;0.8008;0.8568;1.6029;5;2.7371;2.6076;0
220;120;0.6601;0.7186;0.8175;0.8589;12.6;1.2794;1.1362;0
222;121;0.6689;0.6901;0.8344;0.8905;23.6;1.3534;1.0954;0
226;122;0.6622;0.7311;0.8175;3.0537;10.4;2.4448;2.2139;0
229;123;0.4046;0.4847;0.6686;0.2389;28.5;0.5633;0.4382;0
230;124;0.5602;0.65;0.7565;23.5163;-8.8;8.3352;9.1395;0
232;125;0.5683;0.6152;0.7671;1.2255;20.5;1.402;1.1635;0
235;126;0.319;0.4902;0.6039;0.1717;12.9;0.8247;0.7304;0
236;127;0.6244;0.7247;0.7908;0.5016;-0.1;1.1575;1.1591;0
238;128;0.6074;0.6784;0.7908;0.7765;16.3;1.3131;1.1286;0
240;129;0.5119;0.5789;0.7299;0.2599;11.4;1.0004;0.8979;0
241;130;0.675;0.7164;0.8303;0.5972;15.9;1.1801;1.018;0
242;131;0.519;0.5785;0.7415;0.4235;24.4;0.8278;0.6657;0
244;132;0.755;0.8294;0.8695;2.8199;-1.9;3.785;3.8592;0
245;133;0.5903;0.7171;0.847;2.1792;-18.7;3.5752;4.3973;0
246;134;0.6843;0.7543;0.8272;0.8154;0.3;1.5454;1.5404;0
247;135;0.7978;0.8557;0.8934;1.3477;-1.5;2.6109;2.6517;0
250;136;0.6011;0.6987;0.7757;3.5912;-1.3;2.5473;2.5815;0
251;137;0.7844;0.843;0.8857;2.9987;0.9;4.7715;4.7307;0
253;138;0.7657;0.808;0.8761;10.0921;2.8;9.4538;9.1984;0
255;139;0.7164;0.7718;0.8489;18.0481;-5.3;9.2153;9.7299;0
256;140;0.5904;0.6507;0.7699;21.3829;3.6;7.9517;7.6753;0
257;141;0.5238;0.5931;0.7254;4.9397;-7.5;1.8671;2.0194;0
259;142;0.6299;0.6927;0.7947;4.9957;-3.4;3.6441;3.7732;0
260;143;0.6173;0.7132;0.7892;1.2828;6.9;1.9703;1.8439;0
261;144;0.606;0.6436;0.7811;0.6253;-5.4;0.6452;0.6822;0
262;145;0.6151;0.6916;0.7863;21.4001;-6.8;5.7441;6.1662;0
264;146;0.7031;0.7441;0.8549;0.6082;-15.3;1.3189;1.5573;0
265;147;0.3673;0.1841;0.8593;5.8666;-59.1;0.9617;2.3493;0
268;148;0.699;0.7034;0.8724;1.3053;-20.8;1.9491;2.4607;0
269;149;0.5751;0.6553;0.7598;1.032;3.8;2.0105;1.9374;0
271;150;-0.1018;-0.0635;0.8378;5.8378;-78.9;0.4441;2.1048;0
272;151;0.4482;0.3692;0.7524;1.4022;-41.8;0.6797;1.1687;0
274;152;0.5111;0.4765;0.7489;0.8571;-28.7;0.6417;0.9004;0
275;153;0.6172;0.6779;0.7967;2.4459;17.3;2.2377;1.9076;0
277;154;0.5748;0.651;0.7613;0.4829;6.1;1.267;1.1947;0
278;155;0.6414;0.6756;0.8032;6.7449;0.4;4.066;4.0503;0
279;156;0.5745;0.6424;0.7692;0.1024;15.2;0.4895;0.425;0
282;157;0.6564;0.7473;0.8116;1.8813;5.9;1.5628;1.476;0
283;158;0.4344;0.4875;0.6839;0.2645;24.2;0.6398;0.5153;0
285;159;0.6832;0.7543;0.8287;0.5871;5.7;1.4855;1.4051;0
288;160;0.3639;0.488;0.625;0.2544;11.6;0.9554;0.8562;0
289;161;0.6674;0.7446;0.8171;0.2791;1.2;1.0122;1.0004;0
290;162;0.6429;0.7184;0.8036;0.0555;4.8;0.456;0.4351;0
292;163;0.596;0.6838;0.7842;0.4276;14.9;1.0521;0.9159;0
293;164;0.6374;0.7154;0.7985;1.4097;1.5;2.2361;2.204;0
294;165;0.6261;0.6904;0.7952;10.0259;-8.8;4.1911;4.5949;0
295;166;;;;;;;;1
298;167;;;;;;;;1
299;168;0.6411;0.6727;0.8088;4.3807;19.5;2.4412;2.0437;0
301;169;0.6643;0.7396;0.8151;0.2598;-1.2;0.8056;0.8156;0
302;170;0.5903;0.6354;0.7784;1.037;-12.5;1.3188;1.5079;0
303;171;0.6223;0.6852;0.7935;0.2205;-8.5;0.6943;0.7587;0
305;172;0.7259;0.7995;0.8521;0.3894;-0.6;1.3418;1.3502;0
306;173;0.6699;0.7433;0.8211;0.3078;8.5;0.7861;0.7243;0
308;174;0.6901;0.748;0.8317;0.1341;6.9;0.3961;0.3705;0
312;175;0.5706;0.6663;0.7556;0.0091;0.8;0.1337;0.1327;0
315;176;0.5678;0.6153;0.759;2.8686;18.2;1.5196;1.2856;0
316;177;0.6049;0.6328;0.7899;0.2952;24.3;0.5916;0.4759;0
318;178;0.581;0.6336;0.7748;1.2588;-14.8;1.3677;1.6052;0
321;179;0.4584;0.4991;0.6902;0.6316;23.7;0.7561;0.6112;0
322;180;0.3186;0.413;0.5693;0.0226;7.7;0.1582;0.1469;0
324;181;;;;;;;;1
325;182;0.6124;0.6749;0.7849;3.1077;-5.2;2.8824;3.0403;0
326;183;0.5014;0.5044;0.7197;0.1098;0.2;1.3508;1.3478;0
329;184;;;;;;;;1
330;185;0.6807;0.7368;0.8258;1.2578;-3.1;1.7772;1.8346;0
334;186;0.5857;0.6911;0.7676;0.5246;5.6;0.9809;0.9288;0
335;187;0.5672;0.6266;0.7613;2.703;14.5;2.1916;1.9143;0
337;188;0.5408;0.5997;0.7388;0.0646;7.8;0.3262;0.3025;0
340;189;0.455;0.561;0.6842;0.1781;14.9;0.4548;0.3959;0
343;190;0.4452;0.5414;0.6745;1.6175;9.8;1.8469;1.6814;0
344;191;0.5846;0.3713;0.8011;0.3868;53.5;0.6374;0.4153;0
346;192;0.4881;0.2881;0.7672;2.8453;64;1.9094;1.1642;0
347;193;0.3491;0.3122;0.6409;0.2185;50.4;0.417;0.2772;0
348;194;0.4662;0.5511;0.692;0.0029;21.5;0.0395;0.0325;0
349;195;-0.0362;0.1027;0.4395;0.0609;47.7;0.3577;0.2421;0
350;196;-0.6092;-0.2466;0.1117;0.1723;63.5;0.6187;0.3784;0
352;197;0.5047;0.4956;0.7256;0.0548;29.5;0.2109;0.1628;0
