ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
247;63.048;1867;1909;380;1738;467;11.4;299;0.789;0.77;3.9;1.89;1.03;0.48;0.4;0.35;0.38;10;1.1;jja;161.2;2.74;djf;333;0.039;0.36;0.271;0;0;0;2.35;2.3;0.59;0.01;0.75;0.89;0.52;0.54;0.43;0.03;0.08;0.623;0.244;0.133;0.12;0.013;mt;0;1;0;0;0;0;0;0;0;0;0;0;0;-14.1;0.01;0
253;367.515;1316;1321;376;1788;310;30.2;305;0.715;0.85;3.96;2.03;1.22;0.51;0.57;0.44;0.28;9.8;1.17;jja;158.65;2.74;djf;312;0.121;0.036;0.542;0;0.001;0.024;3.78;3.57;0.73;0.14;0.86;0.79;0.79;0.72;0.45;0.058;0.1;0.559;0.281;0.161;0.119;0.011;mt;0;0.688;0;0;0;0;0.133;0.168;0;0;0.01;0;0;-12.7;0.048;0
255;251.498;1215;1213;326;1700;382;18.8;284;0.953;0.71;3.82;2.09;1.36;0.55;0.61;0.4;0.27;10.45;1.24;jja;162.95;2.74;djf;312;0.027;0.096;0.673;0;0.002;0.017;3.41;3.22;0.68;0.12;0.78;0.75;0.67;0.53;0.47;0.046;0.09;0.434;0.373;0.193;0.141;0.014;sc;0;0.286;0;0;0;0;0.681;0;0;0;0.033;0;0;-12;0.047;0
259;93.461;1020;991;288;1671;363;16.4;58;0.663;0.82;4.36;2.17;1.51;0.5;0.7;0.39;0.23;9.3;1.23;jja;158.6;2.72;djf;312;0.043;0.053;0.757;0;0;0;4.23;3.99;0.75;0.18;0.83;0.73;0.63;0.36;0.49;0.052;0.06;0.352;0.422;0.226;0.126;0.02;sc;0;0;0;0;0;0;0.929;0.071;0;0;0;0;0;-11.8;0.069;0
260;87.299;704;673;194;1075;274;10.7;208;0.984;0.9;3.8;2.27;1.75;0.6;0.9;0.32;0.17;11.7;1.24;jja;175.65;2.9;djf;313;0.229;0;0.715;0;0;0.048;4.7;4.33;0.79;0.24;0.89;0.71;0.83;0.37;0.49;0.071;0.07;0.349;0.421;0.23;0.119;0.02;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
261;24.725;666;655;123;583;219;5.5;146;1.018;0.42;3.78;2.27;1.88;0.6;0.9;0.34;0.15;11.65;1.23;jja;179.8;2.93;djf;313;0.338;0;0.651;0;0;0.011;4.75;4.35;0.8;0.25;0.92;0.72;0.84;0.38;0.49;0.099;0.07;0.363;0.434;0.203;0.129;0.02;sm;0;0;0;0;0;0;0.477;0.523;0;0;0;0;0;-12.1;0.128;0
262;168.996;868;856;237;1364;339;19.7;345;0.745;0.89;4.15;2.23;1.75;0.54;0.79;0.37;0.2;10.05;1.23;jja;164.5;2.73;djf;312;0.02;0.008;0.915;0;0;0.003;4.9;4.55;0.79;0.25;0.87;0.67;0.71;0.37;0.49;0.053;0.07;0.354;0.426;0.221;0.123;0.02;sc;0;0;0;0;0;0;0.815;0.185;0;0;0;0;0;-11.9;0.084;0
264;25.274;1343;1319;425;1623;442;7;35;0.815;0.54;5.07;2;1.32;0.39;0.5;0.37;0.29;8.1;1.23;jja;149.2;2.69;djf;312;0.039;0.35;0.493;0;0;0;2.91;2.84;0.61;0.02;0.73;0.83;0.7;0.3;0.48;0.029;0.05;0.367;0.365;0.268;0.162;0.017;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;266
265;17.423;1495;1512;431;1877;437;6.2;99;0.765;0.38;4.98;1.91;1.45;0.38;0.44;0.36;0.3;7.85;1.21;jja;151.9;2.71;djf;332;0;0.418;0.387;0;0;0;2.02;1.96;0.49;0.02;0.55;0.64;0.6;0.3;0.47;0.029;0.05;0.392;0.396;0.212;0.182;0.019;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;266
266;40.965;1300;1251;475;1810;420;8.9;83;0.809;0.6;4.98;2.01;1.41;0.4;0.52;0.36;0.3;7.95;1.2;jja;151.45;2.7;djf;312;0.048;0.351;0.447;0;0;0.014;2.85;2.74;0.6;0.08;0.67;0.69;0.81;0.47;0.47;0.032;0.07;0.383;0.414;0.203;0.167;0.017;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;267
