ID;NB;fewobs
2;1;0
4;2;0
5;3;0
6;4;0
8;5;0
10;6;0
11;7;0
14;8;0
15;9;0
17;10;0
20;11;0
23;12;0
24;13;0
25;14;0
28;15;0
30;16;0
32;17;0
33;18;0
36;19;0
37;20;0
40;21;0
41;22;0
42;23;0
43;24;0
44;25;0
47;26;0
48;27;0
49;28;0
52;29;0
54;30;0
55;31;0
57;32;0
59;33;0
61;34;0
65;35;0
67;36;0
68;37;0
69;38;0
70;39;0
72;40;0
73;41;0
75;42;0
76;43;0
78;44;0
79;45;0
81;46;0
83;47;0
89;48;0
90;49;0
92;50;1
93;51;0
94;52;0
97;53;0
99;54;1
100;55;0
101;56;0
103;57;0
104;58;1
107;59;0
109;60;0
111;61;0
112;62;0
114;63;0
115;64;0
116;65;0
118;66;0
119;67;0
123;68;0
125;69;0
130;70;0
131;71;0
132;72;0
134;73;0
138;74;0
139;75;0
140;76;0
142;77;0
143;78;0
144;79;0
145;80;0
148;81;0
150;82;0
152;83;0
153;84;0
155;85;0
157;86;0
161;87;0
163;88;0
164;89;0
166;90;0
168;91;0
169;92;0
172;93;0
174;94;0
177;95;0
178;96;0
180;97;0
181;98;0
183;99;0
185;100;0
188;101;0
191;102;0
192;103;0
194;104;0
196;105;0
197;106;0
199;107;0
200;108;0
201;109;0
202;110;0
203;111;0
205;112;0
208;113;0
210;114;0
212;115;0
213;116;0
214;117;0
217;118;0
219;119;0
220;120;0
222;121;0
226;122;0
229;123;0
230;124;0
232;125;0
235;126;0
236;127;0
238;128;0
240;129;0
241;130;0
242;131;0
244;132;0
245;133;0
246;134;0
247;135;0
250;136;0
251;137;0
253;138;0
255;139;0
256;140;0
257;141;0
259;142;0
260;143;0
261;144;0
262;145;0
264;146;0
265;147;0
268;148;0
269;149;0
271;150;0
272;151;0
274;152;0
275;153;0
277;154;0
278;155;0
279;156;0
282;157;0
283;158;0
285;159;0
288;160;0
289;161;0
290;162;0
292;163;0
293;164;0
294;165;0
295;166;1
298;167;1
299;168;0
301;169;0
302;170;0
303;171;0
305;172;0
306;173;0
308;174;0
312;175;0
315;176;0
316;177;0
318;178;0
321;179;0
322;180;0
324;181;1
325;182;0
326;183;0
329;184;1
330;185;0
334;186;0
335;187;0
337;188;0
340;189;0
343;190;0
344;191;0
346;192;0
347;193;0
348;194;0
349;195;0
350;196;0
352;197;0
354;198;0
356;199;0
359;200;0
361;201;0
363;202;0
366;203;0
374;204;1
377;205;0
378;206;0
379;207;1
380;208;1
382;209;1
383;210;0
388;211;0
390;212;0
392;213;0
395;214;0
398;215;0
401;216;0
402;217;0
405;218;0
408;219;0
409;220;0
411;221;0
415;222;0
428;223;0
430;224;0
431;225;0
435;226;0
436;227;0
439;228;0
441;229;0
445;230;0
447;231;0
449;232;0
453;233;0
455;234;0
457;235;0
459;236;0
461;237;0
465;238;0
469;239;0
471;240;0
472;241;0
475;242;0
476;243;0
477;244;0
478;245;0
480;246;0
483;247;1
485;248;1
488;249;0
489;250;0
490;251;0
491;252;0
492;253;1
495;254;0
496;255;0
498;256;0
500;257;0
505;258;0
506;259;0
508;260;0
509;261;0
510;262;0
511;263;0
513;264;0
514;265;0
516;266;0
517;267;0
520;268;0
523;269;0
524;270;0
525;271;0
528;272;0
529;273;0
531;274;0
534;275;0
535;276;0
536;277;0
539;278;0
542;279;1
545;280;0
546;281;1
549;282;0
551;283;0
554;284;0
559;285;0
560;286;0
564;287;0
565;288;0
568;289;0
570;290;0
572;291;0
573;292;1
575;293;0
577;294;1
579;295;0
580;296;0
583;297;0
585;298;0
588;299;0
589;300;0
591;301;0
593;302;0
594;303;0
595;304;0
599;305;0
600;306;1
601;307;0
603;308;0
604;309;0
606;310;0
608;311;1
621;312;0
622;313;1
623;314;1
624;315;0
625;316;1
626;317;0
627;318;0
629;319;0
631;320;0
634;321;0
635;322;0
640;323;0
641;324;0
644;325;0
645;326;0
646;327;0
649;328;0
650;329;0
651;330;0
654;331;0
655;332;0
661;333;0
662;334;0
663;335;0
665;336;0
670;337;0
672;338;0
673;339;0
674;340;0
687;341;0
692;342;0
695;343;0
696;344;1
697;345;0
698;346;0
699;347;0
703;348;0
704;349;0
705;350;1
706;351;0
707;352;0
709;353;0
718;354;0
719;355;0
720;356;0
725;357;0
726;358;0
729;359;0
731;360;0
732;361;0
734;362;1
740;363;0
746;364;0
748;365;0
750;366;0
751;367;0
752;368;0
753;369;0
754;370;0
755;371;0
756;372;0
763;373;0
764;374;0
766;375;0
769;376;0
770;377;0
771;378;0
772;379;0
773;380;0
774;381;0
776;382;0
777;383;0
778;384;0
779;385;0
782;386;0
784;387;0
786;388;0
787;389;0
788;390;0
790;391;1
791;392;1
796;393;0
797;394;0
799;395;0
800;396;1
801;397;0
804;398;0
807;399;0
810;400;0
811;401;0
812;402;0
813;403;0
814;404;0
815;405;0
817;406;0
818;407;0
819;408;0
822;409;0
823;410;0
825;411;0
826;412;0
828;413;0
830;414;1
832;415;1
834;416;0
837;417;0
839;418;0
841;419;0
842;420;0
845;421;0
846;422;0
850;423;0
852;424;1
854;425;0
858;426;0
860;427;0
863;428;0
866;429;0
868;430;0
871;431;0
872;432;0
875;433;0
876;434;0
879;435;0
882;436;0
3;437;0
12;438;0
16;439;0
18;440;0
21;441;0
26;442;0
34;443;0
39;444;0
50;445;0
56;446;0
71;447;0
80;448;0
85;449;0
91;450;0
95;451;0
98;452;0
102;453;1
105;454;0
110;455;1
113;456;0
124;457;0
126;458;0
127;459;0
133;460;0
136;461;0
141;462;0
151;463;0
154;464;0
156;465;0
158;466;0
165;467;0
170;468;0
175;469;0
182;470;0
184;471;0
189;472;0
193;473;0
198;474;0
204;475;0
209;476;0
215;477;0
221;478;0
223;479;0
231;480;0
237;481;0
243;482;0
248;483;0
258;484;0
266;485;0
270;486;0
284;487;0
286;488;0
291;489;0
296;490;1
304;491;0
309;492;1
313;493;0
317;494;0
319;495;1
327;496;1
331;497;0
336;498;0
338;499;0
341;500;1
345;501;0
355;502;0
357;503;0
360;504;0
367;505;1
381;506;0
384;507;0
391;508;1
396;509;0
403;510;0
406;511;0
410;512;1
416;513;0
429;514;0
432;515;0
437;516;0
446;517;0
450;518;0
454;519;0
458;520;0
462;521;0
466;522;0
470;523;0
473;524;0
479;525;0
486;526;0
493;527;0
507;528;0
512;529;0
515;530;0
526;531;0
530;532;0
532;533;0
543;534;0
550;535;0
552;536;0
555;537;0
561;538;1
566;539;0
574;540;0
576;541;0
581;542;0
586;543;0
590;544;1
596;545;0
605;546;0
618;547;0
628;548;0
633;549;0
642;550;0
647;551;0
652;552;0
659;553;0
664;554;0
666;555;0
671;556;0
675;557;0
682;558;0
693;559;0
700;560;0
708;561;0
715;562;0
724;563;0
730;564;0
733;565;0
743;566;0
758;567;0
759;568;0
762;569;0
767;570;0
768;571;0
785;572;0
789;573;0
792;574;0
793;575;1
795;576;0
798;577;0
802;578;0
809;579;0
816;580;0
824;581;0
831;582;0
838;583;0
843;584;0
847;585;0
851;586;0
859;587;0
861;588;0
867;589;0
873;590;0
877;591;0
7;592;0
19;593;0
22;594;0
27;595;0
35;596;0
51;597;0
58;598;0
74;599;0
86;600;0
106;601;0
117;602;0
121;603;0
128;604;0
147;605;0
159;606;0
167;607;0
171;608;0
176;609;0
186;610;0
190;611;0
195;612;0
206;613;0
216;614;0
224;615;0
233;616;0
239;617;0
249;618;1
267;619;0
273;620;0
287;621;0
297;622;0
307;623;1
310;624;0
320;625;0
328;626;0
339;627;0
358;628;1
368;629;0
385;630;0
386;631;0
404;632;0
412;633;0
433;634;0
438;635;0
448;636;0
451;637;0
460;638;0
467;639;0
474;640;0
494;641;0
518;642;0
527;643;0
533;644;0
544;645;0
553;646;1
556;647;0
562;648;0
567;649;0
578;650;0
587;651;0
592;652;1
607;653;0
619;654;0
632;655;0
643;656;0
648;657;0
653;658;0
660;659;1
667;660;0
676;661;0
683;662;0
694;663;0
701;664;0
716;665;1
742;666;0
747;667;0
757;668;0
760;669;0
761;670;0
780;671;0
783;672;0
803;673;0
808;674;0
820;675;0
827;676;0
833;677;0
862;678;0
869;679;0
874;680;0
878;681;0
9;682;0
29;683;0
38;684;0
60;685;0
82;686;0
108;687;0
120;688;0
160;689;0
179;690;0
207;691;0
218;692;0
252;693;0
276;694;0
300;695;0
311;696;0
332;697;0
342;698;0
370;699;0
387;700;0
407;701;0
434;702;0
440;703;0
452;704;0
463;705;0
