ID;NEXTDOWNID;dist_hdn;elev_diff;strm_slope
211;228;40.3;81;2
212;228;39.9;90;2.3
213;216;12.2;19;1.6
214;215;17.3;168;9.7
215;216;10.9;15;1.4
216;218;24;11;0.5
217;218;20.8;7;0.3
218;225;12.4;55;4.4
219;221;17.2;61;3.5
220;221;9.9;28;2.8
221;224;6.3;23;3.7
222;223;16.3;87;5.3
223;224;6.6;25;3.8
224;225;2.7;8;3
225;227;19.1;63;3.3
226;227;16.7;72;4.3
227;228;2.9;7;2.4
228;234;13;32;2.5
229;234;15.8;58;3.7
230;231;14.4;77;5.3
231;233;18.1;84;4.6
232;233;2.1;10;4.8
233;234;13.1;49;3.7
234;314;120.8;109;0.9
235;314;121;122;1
236;237;20.1;75;3.7
237;239;22.9;69;3
238;239;17.2;48;2.8
239;314;100.8;70;0.7
240;314;91.5;58;0.6
241;243;12.6;66;5.2
242;243;15.2;80;5.3
243;314;85.1;47;0.6
244;248;22.5;112;5
245;248;20.5;111;5.4
246;248;12.4;157;12.7
247;248;8.2;294;35.9
248;249;36.1;85;2.4
249;252;14.7;13;0.9
250;252;16.2;17;1
251;252;10.2;17;1.7
252;254;18.9;10;0.5
253;254;15.1;16;1.1
254;263;107.8;331;3.1
255;263;83.8;200;2.4
256;258;36.4;153;4.2
257;258;19.6;86;4.4
258;263;100.7;297;2.9
259;263;60.4;135;2.2
260;263;44.5;98;2.2
261;263;36.9;135;3.7
262;263;27.4;62;2.3
263;281;2;5;2.5
264;266;4.2;44;10.5
265;266;2.6;15;5.8
266;267;11.7;130;11.1
267;276;8.5;49;5.8
268;270;7.9;55;7
269;270;3.5;32;9.1
270;273;11.2;86;7.7
271;273;12.9;192;14.9
272;273;9.5;109;11.5
273;276;11.2;65;5.8
274;276;8.2;94;11.5
275;276;6.3;77;12.2
276;280;34.9;118;3.4
277;280;29;97;3.3
278;280;26.5;102;3.8
279;280;24.2;121;5
280;281;5.8;21;3.6
281;314;105.2;81;0.8
282;314;105;90;0.9
283;284;9.3;76;8.2
284;287;24.9;209;8.4
285;286;31.2;355;11.4
286;287;7.3;69;9.5
287;314;80.6;53;0.7
288;314;72.1;42;0.6
289;291;36.2;329;9.1
290;291;34.4;378;11
291;314;61.6;34;0.6
292;314;54.2;32;0.6
293;314;30.8;33;1.1
294;296;12.3;74;6
295;296;13.3;88;6.6
296;297;35.2;127;3.6
297;300;40.3;129;3.2
298;300;38.1;137;3.6
299;300;21.6;42;1.9
300;314;42.7;62;1.5
301;304;26.2;405;15.5
302;304;20.7;241;11.6
303;304;23;413;18
304;307;11;56;5.1
305;307;11.9;71;6
306;307;4.1;28;6.8
307;311;24.6;100;4.1
308;309;9.1;73;8
309;310;14.9;65;4.4
310;311;8.2;23;2.8
311;314;16.8;25;1.5
312;313;23.6;281;11.9
313;314;4.7;34;7.2
314;323;21.1;6;0.3
315;317;14.8;39;2.6
316;317;19.3;68;3.5
317;323;26.6;18;0.7
318;319;10.3;78;7.6
319;320;16.9;83;4.9
320;323;55.4;117;2.1
321;323;34.5;43;1.2
322;323;9.5;119;12.5
323;351;73;34;0.5
324;351;61.8;49;0.8
325;328;18.7;102;5.5
326;327;7.1;78;11
327;328;18.6;128;6.9
328;332;16.3;63;3.9
329;331;12.3;96;7.8
330;331;3.5;24;6.9
331;332;19.5;78;4
332;333;17.9;74;4.1
333;351;56;60;1.1
334;336;24.9;180;7.2
335;336;2;8;4
336;339;58.2;245;4.2
337;338;18.3;205;11.2
338;339;44.4;255;5.7
339;342;20.9;45;2.2
340;341;7.9;42;5.3
341;342;20.4;46;2.3
342;351;70.5;57;0.8
343;351;65.1;71;1.1
344;345;20.4;46;2.3
345;351;38.7;25;0.6
346;351;38.3;36;0.9
347;351;33.9;30;0.9
348;351;17;140;8.2
349;351;60.3;66;1.1
350;351;26;29;1.1
351;372;46.9;21;0.4
352;372;44.8;29;0.6
354;355;10.9;62;5.7
355;372;42.7;44;1
356;357;18.3;115;6.3
357;358;12.9;63;4.9
358;364;20.2;37;1.8
359;360;11.1;59;5.3
360;364;38.6;124;3.2
361;364;18.8;67;3.6
363;364;12.4;26;2.1
364;372;27.6;16;0.6
366;367;13.6;90;6.6
367;368;14.7;81;5.5
368;370;16.2;86;5.3
370;371;32.9;69;2.1
371;372;18.8;13;0.7
372;373;10.9;4;0.4
373;399;5;2;0.4
374;375;30.9;26;0.8
375;376;14.9;7;0.5
376;399;8.1;5;0.6
379;381;18.6;57;3.1
380;381;18.9;62;3.3
383;385;29.9;40;1.3
384;385;4.1;7;1.7
385;387;34.2;56;1.6
386;387;6.5;14;2.2
387;853;33.2;47;1.4
388;853;36.8;87;2.4
389;856;30;71;2.4
390;391;16.4;64;3.9
391;857;33.4;25;0.7
392;857;14.1;11;0.8
393;394;18.9;6;0.3
394;397;35.1;7;0.2
395;396;33.9;62;1.8
396;397;35.6;11;0.3
397;399;33;7;0.2
398;399;51.2;34;0.7
401;403;6.5;33;5.1
402;403;0.9;8;8.9
403;404;24.1;134;5.6
404;407;17;91;5.4
405;406;6.6;71;10.8
406;407;7.7;45;5.8
407;413;17.7;80;4.5
408;410;7.1;55;7.7
409;410;7.9;63;8
410;412;15.3;78;5.1
411;412;12.4;63;5.1
412;413;10.8;43;4
413;414;8.2;26;3.2
414;422;17.6;45;2.6
415;416;2.8;7;2.5
416;422;24.2;63;2.6
422;423;50.4;54;1.1
423;426;18.7;12;0.6
428;429;14.7;67;4.6
431;432;9.7;57;5.9
432;433;6;19;3.2
433;434;7.4;21;2.8
436;437;0.7;8;11.4
437;438;16.4;169;10.3
438;440;5;28;5.6
439;440;4.6;31;6.7
